repo_name,total_events,unique_actors,bot_ratio,events_per_actor,events_per_second,z_total_events,z_unique_actors,z_bot_ratio,z_events_per_actor,z_events_per_second,max_z,anomaly_feature
forrestchang/andrej-karpathy-skills,112,112,0.008928571428571428,1.0,0.008282798402603165,8.562148287242163,191.4252898997017,-0.5433137493124796,-0.08999037997927872,-1.3390616692590884,191.4252898997017,unique_actors
Swathy1209/orchestrai-agent,2197,1,0.0,2197.0,0.15265425236242358,171.31923988405637,-0.13528239757438554,-0.5646739520184048,176.61924509661893,-1.0448190504841315,176.61924509661893,events_per_actor
odoo-dev/odoo,167,93,0.25149700598802394,1.7956989247311828,0.011724234765515304,12.855500823369157,158.63564238935717,0.036993075099392286,-0.02596153268474385,-1.332047697867954,158.63564238935717,unique_actors
minagocorporation-ux/Dsgghjfghdf,1929,1,0.0,1929.0,0.13403279599777654,150.39890388983756,-0.13528239757438554,-0.5646739520184048,155.05363712406503,-1.0827713321565335,155.05363712406503,events_per_actor
KarolisZemaitis/karolis-bots-memory,1729,1,0.0,1729.0,0.17403120281831908,134.78671284937576,-0.13528239757438554,-0.5646739520184048,138.9598998311144,-1.0012508123661186,138.9598998311144,events_per_actor
bolividob/bibkreyol-comments-data,1623,1,0.0,1623.0,0.11296721653789936,126.51225159793103,-0.13528239757438554,-0.5646739520184048,130.43021906585054,-1.1257049668625418,130.43021906585054,events_per_actor
waqar0345/Sid,1332,1,0.0,1332.0,0.09271891967144646,103.79651363405911,-0.13528239757438554,-0.5646739520184048,107.01383130460734,-1.1669729026788282,107.01383130460734,events_per_actor
NousResearch/hermes-agent,74,62,0.0,1.1935483870967742,0.005854430379746835,5.595831989554422,105.13674381984761,-0.5646739520184048,-0.0744157955022297,-1.3440109119715256,105.13674381984761,unique_actors
Assist071/MyLoaderUpdates,1291,1,0.0,1291.0,0.08978995687856448,100.59601447076444,-0.13528239757438554,-0.5646739520184048,103.71461515955245,-1.1729424046740902,103.71461515955245,events_per_actor
RavanGuliyeff/TestBot,1245,1,0.0,1245.0,0.09390556645044501,97.00521053145823,-0.13528239757438554,-0.5646739520184048,100.01305558217379,-1.16455440479551,100.01305558217379,events_per_actor
aa8600303/images,1169,1,0.0,1169.0,0.08137268550744814,91.07257793608275,-0.13528239757438554,-0.5646739520184048,93.89743541085255,-1.1900975963913256,93.89743541085255,events_per_actor
hyperspaceai/agi,1198,2,1.0,599.0,0.0833275370383251,93.33634563694972,1.5904885240226965,1.827668751045217,48.030284125943176,-1.186113424881066,93.33634563694972,total_events
PostHog/posthog,209,55,0.24401913875598086,3.8,0.014868037276801593,16.13406094186613,93.05634736866804,0.019103453992335463,0.13532194212203044,-1.3256403322949122,93.05634736866804,unique_actors
amaralofertas/ofertas,1131,1,0.0,1131.0,0.07878787878787878,88.10626163839501,-0.13528239757438554,-0.5646739520184048,90.83962532519192,-1.1953656758996534,90.83962532519192,events_per_actor
escapingwork/teenagerspopulation,1107,1,0.0,1107.0,0.07714285714285714,86.2327987135396,-0.13528239757438554,-0.5646739520184048,88.90837685003784,-1.198718384925548,88.90837685003784,events_per_actor
b74laser/LakeShore,1043,1,0.0,1043.0,0.07258176757132916,81.23689758059182,-0.13528239757438554,-0.5646739520184048,83.75838091629363,-1.2080143149947087,83.75838091629363,events_per_actor
gaston1799/RobloxLua,984,1,0.0,984.0,0.06870069119597849,76.63130122365558,-0.13528239757438554,-0.5646739520184048,79.01072841487318,-1.2159243141325342,79.01072841487318,events_per_actor
itkymcpndghq123/dds11,941,1,0.0,941.0,0.1014227204138823,73.2746801499563,-0.13528239757438554,-0.5646739520184048,75.5505748968888,-1.149233737120085,75.5505748968888,events_per_actor
elastic/kibana,134,42,0.15671641791044777,3.1904761904761907,0.009604357798165137,10.27948930169296,70.62132538790597,-0.18975457318007596,0.08627436180065706,-1.3363682067583573,70.62132538790597,unique_actors
DataDog/datadog-agent,158,41,0.6962025316455697,3.8536585365853657,0.011107205623901582,12.152952226548376,68.8955544663089,1.100881094418294,0.13963977407867575,-1.333305261364817,68.8955544663089,unique_actors
1176057076-alt/picx-images-hosting,856,1,0.0,856.0,0.12316546762589928,66.63949895776004,-0.13528239757438554,-0.5646739520184048,68.71073654738477,-1.1049199707656485,68.71073654738477,events_per_actor
Kyoko981/StatisticheChiamate,770,1,0.0,770.0,0.05360623781676413,59.92625681036146,-0.13528239757438554,-0.5646739520184048,61.79042951141599,-1.2466882315792105,61.79042951141599,events_per_actor
sidarthus89/EVE-Data-Site,763,1,0.0,763.0,0.05497910361723591,59.3798301239453,-0.13528239757438554,-0.5646739520184048,61.227148706162716,-1.2438902017936975,61.227148706162716,events_per_actor
openclaw/openclaw,77,36,0.3246753246753247,2.138888888888889,0.005570829113008248,5.830014855161349,60.266699858323484,0.21206069183342047,0.0016545129389125143,-1.3445889180601551,60.266699858323484,unique_actors
Havran001/tennis-scout,737,1,0.0,737.0,0.05466953490097174,57.350245288685265,-0.13528239757438554,-0.5646739520184048,59.134962858079135,-1.244521131989841,59.134962858079135,events_per_actor
sidarthus89/EVE-Data-Site-Dev,733,1,0.0,733.0,0.052828828828828826,57.03800146787603,-0.13528239757438554,-0.5646739520184048,58.81308811222012,-1.248272664306008,58.81308811222012,events_per_actor
tbn01-acc/habbitracker,634,1,0.0,634.0,0.04421507775995537,49.30996690284744,-0.13528239757438554,-0.5646739520184048,50.846688152209545,-1.2658283001499628,50.846688152209545,events_per_actor
tenstorrent/tt-metal,65,30,0.24615384615384617,2.1666666666666665,0.004665853133299835,4.8932833927336405,49.91207432874099,0.024210405658794468,0.0038897542296000972,-1.346433344329298,49.91207432874099,unique_actors
llvm/llvm-project,54,30,0.037037037037037035,1.8,0.004139199754714089,4.034612885508242,49.91207432874099,-0.4760686667197521,-0.02561543080747609,-1.3475067135103331,49.91207432874099,unique_actors
Expensify/App,57,29,0.2807017543859649,1.9655172413793103,0.004387652990531907,4.268795751115169,48.18630340714391,0.10686084182401534,-0.012296475806413487,-1.3470003424186459,48.18630340714391,unique_actors
moutonh/Pioneer,586,1,0.0,586.0,0.0421886249100072,45.56304105313661,-0.13528239757438554,-0.5646739520184048,46.98419120190139,-1.2699584018912577,46.98419120190139,events_per_actor
Vecens/Signal-Permafrost,583,1,0.0,583.0,0.050779548819789216,45.32885818752968,-0.13528239757438554,-0.5646739520184048,46.742785142507124,-1.2524492899471877,46.742785142507124,events_per_actor
shadowm-mounarch/yolo-test,568,1,0.0,568.0,0.07851810893005252,44.15794385949505,-0.13528239757438554,-0.5646739520184048,45.53575484553583,-1.1959154922744017,45.53575484553583,events_per_actor
grafana/grafana,77,27,0.11688311688311688,2.8518518518518516,0.005813953488372093,5.830014855161349,44.734761563949746,-0.2850494802317477,0.05902570606656067,-1.3440934076878968,44.734761563949746,unique_actors
MetaMask/metamask-mobile,60,27,0.36666666666666664,2.2222222222222223,0.004247787610619469,4.502978616722096,44.734761563949746,0.3125183724382565,0.008360236810975299,-1.3472854012341706,44.734761563949746,unique_actors
claudecodejg-bot/cost-dashboard,538,1,1.0,538.0,0.037540995045705114,41.81611520342578,-0.13528239757438554,1.827668751045217,43.121694251593226,-1.2794307092266783,43.121694251593226,events_per_actor
anthropics/claude-code,58,26,0.5517241379310345,2.230769230769231,0.00463258785942492,4.346856706317478,43.008990642352664,0.7552392634649727,0.009048003361956094,-1.3465011420900792,43.008990642352664,unique_actors
ClickHouse/ClickHouse,81,26,0.5061728395061729,3.1153846153846154,0.005854716299241055,6.142258675970585,43.008990642352664,0.6462649470631816,0.0802318413884686,-1.344010329240671,43.008990642352664,unique_actors
contactsecuriks/securiks,529,1,0.0,529.0,0.03689239138015203,41.113566606605,-0.13528239757438554,-0.5646739520184048,42.39747607341045,-1.2807526245767344,42.39747607341045,events_per_actor
nyf-smartlab/test,523,1,0.0,523.0,0.03636742924692302,40.64520087539115,-0.13528239757438554,-0.5646739520184048,41.91466395462193,-1.2818225468404663,41.91466395462193,events_per_actor
android/skills,25,25,0.0,1.0,0.0020228173800469294,1.7708451846412823,41.28321972075558,-0.5646739520184048,-0.08999037997927872,-1.3518201000917591,41.28321972075558,unique_actors
MetaMask/metamask-extension,56,24,0.3392857142857143,2.3333333333333335,0.003963198867657466,4.19073479591286,39.5574487991585,0.24701375080675267,0.017301201973725668,-1.347865419892335,39.5574487991585,unique_actors
thedotmack/claude-mem,26,24,0.0,1.0833333333333333,0.0019806505675325665,1.8489061398435913,39.5574487991585,-0.5646739520184048,-0.08328465610721594,-1.3519060400265543,39.5574487991585,unique_actors
ROCm/rocm-systems,35,24,0.05714285714285714,1.4583333333333333,0.0026656511805026656,2.551454736664372,39.5574487991585,-0.42796865470048356,-0.05310889868293347,-1.3505099442701256,39.5574487991585,unique_actors
camunda/camunda,88,24,0.3181818181818182,3.6666666666666665,0.006176305446378439,6.688685362386748,39.5574487991585,0.19652599895638398,0.12459278392673001,-1.343354900274432,39.5574487991585,unique_actors
adem4321/wa_image,490,1,0.0,490.0,0.03437149270482604,38.069189353714954,-0.13528239757438554,-0.5646739520184048,39.25919730128508,-1.285890453472609,39.25919730128508,events_per_actor
Andrejewild/myvpn,475,1,0.0,475.0,0.03299986105321662,36.89827502568032,-0.13528239757438554,-0.5646739520184048,38.05216700431378,-1.2886859679465197,38.05216700431378,events_per_actor
elastic/elasticsearch,42,23,0.047619047619047616,1.826086956521739,0.0029882604055496264,3.0978814230805347,37.83167787756142,-0.4507528709201371,-0.023516247682308623,-1.349852436289045,37.83167787756142,unique_actors
regro/cf-graph-countyfair,457,1,1.0,457.0,0.032027472142406616,35.49317783203876,-0.13528239757438554,1.827668751045217,36.60373064794822,-1.290667788117591,36.60373064794822,events_per_actor
CodeHub-Clients/CodeHub_Licenses,457,1,0.0,457.0,0.032360855402917436,35.49317783203876,-0.13528239757438554,-0.5646739520184048,36.60373064794822,-1.2899883216376333,36.60373064794822,events_per_actor
deckhouse/deckhouse,61,22,0.11475409836065574,2.772727272727273,0.004306997105133093,4.581039571924405,36.105906955964336,-0.2901428221586449,0.05265865511732939,-1.3471647267085345,36.105906955964336,unique_actors
odoo/odoo,74,22,0.06756756756756757,3.3636363636363638,0.005232270381107262,5.595831989554422,36.105906955964336,-0.4030291747843763,0.10020833348286541,-1.345278932638185,36.105906955964336,unique_actors
pablojorgeandres/pablojorgeandres.github.io,442,1,0.0,442.0,0.03241657499083242,34.32226350400413,-0.13528239757438554,-0.5646739520184048,35.39670035097692,-1.289874759870293,35.39670035097692,events_per_actor
eknizek/BlueEM-Summaries,440,1,0.0,440.0,0.42884990253411304,34.166141593599505,-0.13528239757438554,-0.5646739520184048,35.23576297804741,-0.48190630581240856,35.23576297804741,events_per_actor
VoltAgent/awesome-design-md,21,21,0.0,1.0,0.001561570493753718,1.4586013638320465,34.380136034367254,-0.5646739520184048,-0.08999037997927872,-1.3527601646821072,34.380136034367254,unique_actors
AceSeat/Rpmx86E2eTestRepo,425,1,0.0,425.0,0.10310528869480834,32.99522726556487,-0.13528239757438554,-0.5646739520184048,34.028732681076114,-1.1458045045144125,34.028732681076114,events_per_actor
AceSeat/RpmArmE2eTestRepo,425,1,0.0,425.0,0.10483473112974839,32.99522726556487,-0.13528239757438554,-0.5646739520184048,34.028732681076114,-1.1422797379686735,34.028732681076114,events_per_actor
ahmed25abbas/tokens,416,1,0.0,416.0,0.02893913043478261,32.29267866874409,-0.13528239757438554,-0.5646739520184048,33.30451450289333,-1.2969621193499696,33.30451450289333,events_per_actor
tomevault-io/copilot-plugins,412,1,0.0,412.0,0.0329073482428115,31.980434847934855,-0.13528239757438554,-0.5646739520184048,32.98263975703432,-1.2888745177661496,32.98263975703432,events_per_actor
tomevault-io/claude-code-plugins,410,1,0.0,410.0,0.028883409651285663,31.824312937530237,-0.13528239757438554,-0.5646739520184048,32.82170238410481,-1.2970756835540185,32.82170238410481,events_per_actor
getsentry/sentry,46,20,0.15217391304347827,2.3,0.00323192580622497,3.4101252438897705,32.65436511277017,-0.20062180155220144,0.014618912424900533,-1.349355823256253,32.65436511277017,unique_actors
mattermost/mattermost,59,20,0.11864406779661017,2.95,0.004405944290941677,4.424917661519787,32.65436511277017,-0.2808366821633988,0.06692355862699019,-1.3469630630259006,32.65436511277017,unique_actors
tigerbeetle/devhubdb,419,2,0.0,209.5,0.029415894411682113,32.52686153435102,1.5904885240226965,-0.5646739520184048,16.68773074792178,-1.2959904294677056,32.52686153435102,total_events
leandrohstein/transporteservico-urbs-data,398,1,0.0,398.0,0.027742924857103026,30.88758147510253,-0.13528239757438554,-0.5646739520184048,31.856078146527775,-1.2994000989651613,31.856078146527775,events_per_actor
SoliSpirit/v2ray-configs,392,1,0.0,392.0,0.03062739276505977,30.419215743888675,-0.13528239757438554,-0.5646739520184048,31.373266027739255,-1.293521281735505,31.373266027739255,events_per_actor
JuliusBrussee/caveman,21,19,0.047619047619047616,1.105263157894737,0.002075714144509242,1.4586013638320465,30.928594191173087,-0.4507528709201371,-0.0815199919303573,-1.3517122915044435,30.928594191173087,unique_actors
multica-ai/multica,30,19,0.03333333333333333,1.5789473684210527,0.0023952095808383233,2.161149960652827,30.928594191173087,-0.4849291952496174,-0.04340324571021103,-1.3510611297179986,30.928594191173087,unique_actors
tomevault-io/codex-plugins,376,1,0.0,376.0,0.03003914676040585,29.17024046065173,-0.13528239757438554,-0.5646739520184048,30.085767044303203,-1.294720182488707,30.085767044303203,events_per_actor
