actor_login,window_start,event_count
chatgpt-codex-connector[bot],2026-04-15 11:50:00+00:00,20
claudecodejg-bot,2026-04-15 10:00:00+00:00,27
claudecodejg-bot,2026-04-15 10:10:00+00:00,24
claudecodejg-bot,2026-04-15 10:30:00+00:00,25
claudecodejg-bot,2026-04-15 10:40:00+00:00,23
claudecodejg-bot,2026-04-15 10:50:00+00:00,25
claudecodejg-bot,2026-04-15 11:10:00+00:00,23
claudecodejg-bot,2026-04-15 11:20:00+00:00,26
claudecodejg-bot,2026-04-15 11:40:00+00:00,26
claudecodejg-bot,2026-04-15 11:50:00+00:00,29
claudecodejg-bot,2026-04-15 12:00:00+00:00,25
claudecodejg-bot,2026-04-15 12:30:00+00:00,24
claudecodejg-bot,2026-04-15 12:40:00+00:00,22
claudecodejg-bot,2026-04-15 12:50:00+00:00,23
claudecodejg-bot,2026-04-15 13:00:00+00:00,27
claudecodejg-bot,2026-04-15 13:10:00+00:00,20
claudecodejg-bot,2026-04-15 13:30:00+00:00,28
claudecodejg-bot,2026-04-15 13:50:00+00:00,20
clawdhub[bot],2026-04-15 10:30:00+00:00,24
clawdhub[bot],2026-04-15 12:30:00+00:00,22
cloudflare-workers-and-pages[bot],2026-04-15 10:00:00+00:00,31
cloudflare-workers-and-pages[bot],2026-04-15 10:10:00+00:00,37
cloudflare-workers-and-pages[bot],2026-04-15 10:20:00+00:00,24
cloudflare-workers-and-pages[bot],2026-04-15 10:30:00+00:00,33
cloudflare-workers-and-pages[bot],2026-04-15 10:40:00+00:00,50
cloudflare-workers-and-pages[bot],2026-04-15 10:50:00+00:00,29
cloudflare-workers-and-pages[bot],2026-04-15 11:00:00+00:00,34
cloudflare-workers-and-pages[bot],2026-04-15 11:10:00+00:00,28
cloudflare-workers-and-pages[bot],2026-04-15 11:20:00+00:00,29
cloudflare-workers-and-pages[bot],2026-04-15 11:30:00+00:00,26
cloudflare-workers-and-pages[bot],2026-04-15 11:40:00+00:00,38
cloudflare-workers-and-pages[bot],2026-04-15 11:50:00+00:00,30
cloudflare-workers-and-pages[bot],2026-04-15 12:00:00+00:00,21
cloudflare-workers-and-pages[bot],2026-04-15 12:10:00+00:00,31
cloudflare-workers-and-pages[bot],2026-04-15 12:20:00+00:00,35
cloudflare-workers-and-pages[bot],2026-04-15 12:30:00+00:00,26
cloudflare-workers-and-pages[bot],2026-04-15 12:40:00+00:00,24
