actor_login,repo_name,event_count,rank,purpose_label,name_category,language
0x4272616e646f6e-renovate-ce-bot[bot],0x4272616E646F6E/homelab,8,1.0,no_description,general,
11gather11-nix-updater[bot],11gather11/dotfiles,1,1.0,no_description,config,
1code-async[bot],21st-dev/phion,1,1.0,no_description,general,
24-bot,24HeuresINSA/upptime,2,1.0,no_description,general,
82marhal-bot,School-Be-Fun-They-said/The-Snaxers,1,1.0,no_description,general,
AirOoO-bot,AirOoO-bot/CY_Prediction,1,1.0,no_description,automation,
Alejandrowe-bot,Alejandrowe-bot/claude-mcps-and-prompts,2,1.0,no_description,automation,
ArtLife-bot,ArtLife-bot/LibString,1,1.0,no_description,automation,
Bingus-Bot,Bingus-Bot/practice1_webdev,1,1.0,no_description,automation,
Blfb0-bot,Blfb0-bot/projet-web,1,1.0,no_description,automation,
Bot-106,FRC1360/Rebuilt2026,1,1.0,no_description,general,
Bot-TOM,Bot-TOM/myartipro-frontend,1,1.0,no_description,automation,
Bot-by-surdebmalya,surdebmalya/baud-news-ss,7,1.0,no_description,general,
Candice1-bot,Candice1-bot/issue-tracker-v2,1,1.0,no_description,automation,
Cyriaque-bot,Cyriaque-bot/cfbd-data-pipeline,1,1.0,no_description,automation,
Darkstorm-bot,Darkstorm-bot/MineCraft_crafter,1,1.0,no_description,automation,
DlC-bot,DlC-bot/dizhi,1,1.0,no_description,automation,
FARHAN-MIRAI-BOT,FARHAN-MIRAI-BOT/GOAT,2,1.0,no_description,automation,
Felipehelio-bot,Felipehelio-bot/AI2001_Category-Source_Code-SC-Avro-IDL,1,1.0,no_description,automation,
GITtry-bot,GITtry-bot/Substance-Opti-Pack,1,1.0,no_description,automation,
Godswill-bot,Godswill-bot/result-publisher,1,1.0,no_description,automation,
HS-prism-bot,juspay/hyperswitch-prism,4,1.0,no_description,general,
Jarvis-Maverick-Bot,Jarvis-Maverick-Bot/gov_langgraph,2,1.0,no_description,automation,
JordoVR-Bot,JordoVR-Bot/JordoVR-Bot.github.io,1,1.0,no_description,automation,
Koan-Bot,Koan-Bot/Net-Whois-IANA,1,1.0,no_description,automation,
Koan-Bot,Koan-Bot/OpenStack-MetaAPI,1,2.0,no_description,automation,
Koan-Bot,Koan-Bot/p5-Locale-Maketext-Utils,1,3.0,no_description,automation,
LINE-CS-BOT,LINE-CS-BOT/BEAR,3,1.0,no_description,automation,
LizardByte-bot,LizardByte/homebrew-homebrew,3,1.0,no_description,general,
LizardByte-bot,LizardByte/Sunshine,1,2.0,no_description,general,
LizardByte-bot,LizardByte/actions,1,3.0,no_description,automation,
MyCrafitix-bot,MyCrafitix-bot/depogitb3,1,1.0,no_description,automation,
