repo_name,total_events,unique_actors,bot_events,first_event,last_event,total_payload_b,phish_name_flag,ai_coauthor_flag,unique_orgs,events_per_actor,bot_ratio,time_span_s,events_per_second,event_type_diversity,distinct_branches,suspicious_score
ECShuai/ManifestHub,54560,1,0,2026-04-11 10:43:10+00:00,2026-04-11 22:09:55+00:00,29477838,False,False,0,54560.0,0.0,41205.0,1.3241111515592767,1,38666,5
evahfkh/ManifestHub,22451,1,0,2026-04-13 19:52:21+00:00,2026-04-14 05:56:44+00:00,12144667,False,False,0,22451.0,0.0,36263.0,0.6191159032622784,1,21541,5
qiao-lima/TitanManifests_Private,10270,1,0,2026-04-10 04:21:22+00:00,2026-04-16 18:17:16+00:00,6039327,False,False,0,10270.0,0.0,568554.0,0.01806336777157491,2,10008,4
merge-demo/mergequeue-bazel,24614,7,21641,2026-04-10 00:00:27+00:00,2026-04-16 22:59:19+00:00,33169053,False,False,1,3516.285714285714,0.8792150808482977,601132.0,0.040946081725810636,5,5932,5
leandrohstein/transporteservico-urbs-data,20120,1,0,2026-04-10 00:00:07+00:00,2026-04-16 22:59:17+00:00,14921397,False,False,0,20120.0,0.0,601150.0,0.03346918406387757,4,4127,4
1Lask/ManifestHub2,3547,1,0,2026-04-12 18:28:13+00:00,2026-04-13 11:58:45+00:00,2014422,False,False,0,3547.0,0.0,63032.0,0.056273004188348776,1,3544,4
drussell23/JARVIS,17577,4,17473,2026-04-10 00:00:40+00:00,2026-04-16 22:17:36+00:00,68461742,False,False,0,4394.25,0.9940831768788758,598616.0,0.029362730030603926,9,2977,5
swesmith-uva/django__django.65dfb06a,2831,1,0,2026-04-15 15:06:38+00:00,2026-04-16 09:44:28+00:00,2335575,False,False,1,2831.0,0.0,67070.0,0.04220963172804532,1,2829,4
docker-hardened-images/log,12026,1,12026,2026-04-10 00:03:33+00:00,2026-04-16 22:55:53+00:00,19426472,False,False,1,12026.0,1.0,600740.0,0.02001864367280354,5,2828,6
kvmw/cook-config,4086,1,0,2026-04-13 07:46:14+00:00,2026-04-13 10:34:46+00:00,2181234,False,False,0,4086.0,0.0,10112.0,0.4040743670886076,3,2292,5
mobbcitestjob/ai-blame-e2e-tests,7363,12,469,2026-04-10 09:09:04+00:00,2026-04-16 22:49:38+00:00,8541081,False,False,0,613.5833333333334,0.06369686269183757,567634.0,0.012971386492000126,5,2192,3
mobineck/https-github.com-JetBrains-intellij-community,2569,1,0,2026-04-14 06:43:58+00:00,2026-04-14 07:23:37+00:00,1717448,False,False,0,2569.0,0.0,2379.0,1.0798654897015554,1,2132,5
tenstorrent/tt-forge-models,2097,18,37,2026-04-10 00:00:09+00:00,2026-04-16 22:48:07+00:00,2112339,False,False,1,116.5,0.01764425369575584,600478.0,0.003492217866433075,7,1783,3
google-test2/signclav2-probe-repo,3364,3,0,2026-04-10 00:01:48+00:00,2026-04-16 22:59:37+00:00,2975248,False,False,1,1121.3333333333333,0.0,601069.0,0.0055966952213472995,3,1301,3
biggsco/event-seating-app2,1207,1,0,2026-04-13 07:21:30+00:00,2026-04-13 08:24:07+00:00,776021,False,False,0,1207.0,0.0,3757.0,0.3212669683257919,1,1207,5
gauravkhetan/langflow,1163,1,0,2026-04-12 05:03:41+00:00,2026-04-12 05:14:54+00:00,694250,False,False,0,1163.0,0.0,673.0,1.7280832095096583,1,1163,5
vtest7894-cpu/test-monorepo,1079,1,0,2026-04-10 00:10:55+00:00,2026-04-16 22:55:56+00:00,652795,False,False,0,1079.0,0.0,600301.0,0.001797431621803062,1,1077,4
mika-stoessel/n8n,1081,1,0,2026-04-14 13:46:23+00:00,2026-04-14 14:06:01+00:00,671964,False,False,0,1081.0,0.0,1178.0,0.9176570458404074,1,1071,5
set2374/codex,1039,1,0,2026-04-11 21:48:26+00:00,2026-04-11 21:58:30+00:00,616745,False,False,0,1039.0,0.0,604.0,1.7201986754966887,1,1039,5
openshift-helm-charts/sandbox-2025-11,2878,2,2878,2026-04-10 05:37:30+00:00,2026-04-16 07:22:37+00:00,4321409,False,False,1,1439.0,1.0,524707.0,0.005484965895252017,6,1030,5
shadowm-mounarch/yolo-test,1655,1,0,2026-04-14 17:14:21+00:00,2026-04-15 15:41:39+00:00,1067257,False,False,0,1655.0,0.0,80838.0,0.020473044855142383,4,1023,4
konflux-ci/testrepo,3396,6,3396,2026-04-10 01:44:57+00:00,2026-04-16 21:50:24+00:00,2822076,False,False,1,566.0,1.0,590727.0,0.005748848452838621,4,991,5
trunk-io/mergequeue-demo,4761,3,4537,2026-04-15 17:27:40+00:00,2026-04-16 14:30:35+00:00,4848042,False,False,1,1587.0,0.9529510607015332,75775.0,0.06283074892774662,5,958,5
Homebrew/homebrew-cask,2974,35,1305,2026-04-10 01:11:36+00:00,2026-04-16 22:55:48+00:00,3190034,False,False,1,84.97142857142858,0.4388029589778077,596652.0,0.004984480065431776,9,940,3
Husninaazra/gitlab,919,1,0,2026-04-15 09:42:39+00:00,2026-04-15 09:53:06+00:00,595185,False,False,0,919.0,0.0,627.0,1.4657097288676235,1,919,5
jentic/jentic-public-apis,2862,9,2004,2026-04-10 00:59:43+00:00,2026-04-16 18:42:56+00:00,4857240,False,False,1,318.0,0.70020964360587,582193.0,0.00491589558788924,6,875,5
security-alliance-bot/eth-phishing-detect,1656,1,1656,2026-04-10 00:02:59+00:00,2026-04-16 22:52:29+00:00,1150812,False,False,0,1656.0,1.0,600570.0,0.002757380488535891,2,852,6
TimSchoenle/actions-testing,3084,2,3084,2026-04-10 00:55:42+00:00,2026-04-15 16:54:26+00:00,2327920,False,False,0,1542.0,1.0,489524.0,0.006299997548639086,6,849,5
Homebrew/homebrew-core,3858,60,2027,2026-04-10 00:03:38+00:00,2026-04-16 22:46:42+00:00,6260461,False,False,1,64.3,0.5254017625712805,600184.0,0.006428028737853725,10,821,5
NixOS/nixpkgs,6235,535,4357,2026-04-10 00:00:21+00:00,2026-04-16 22:56:22+00:00,17003054,False,False,1,11.654205607476635,0.6987971130713713,600961.0,0.010375049296044169,10,819,5
r73psv/vertex-ai,783,1,0,2026-04-10 21:22:41+00:00,2026-04-10 21:25:04+00:00,448942,False,False,0,783.0,0.0,143.0,5.475524475524476,1,783,5
direwolf-github/my-app,2181,1,0,2026-04-10 00:12:49+00:00,2026-04-16 22:34:14+00:00,1267202,False,False,0,2181.0,0.0,598885.0,0.003641767618157075,3,766,4
shige1014-dev/backup-firecrawl,754,2,10,2026-04-11 21:32:14+00:00,2026-04-11 21:40:53+00:00,502193,False,False,0,377.0,0.013262599469496022,519.0,1.4527938342967244,2,749,4
Trenly/winget-pkgs,1342,1,0,2026-04-10 12:33:55+00:00,2026-04-13 21:45:47+00:00,819467,False,False,0,1342.0,0.0,292312.0,0.004590984974958264,3,729,4
intel-lab-lkp/linux,706,1,0,2026-04-10 08:28:26+00:00,2026-04-16 22:50:38+00:00,521850,False,False,0,706.0,0.0,570132.0,0.001238309724765493,1,704,4
ursacomputing/crossbow,1557,2,0,2026-04-10 00:17:56+00:00,2026-04-16 15:11:56+00:00,1475616,False,False,1,778.5,0.0,572040.0,0.0027218376337319067,4,654,3
digitalocean-e2e/apps-deploy-on-push,1906,1,0,2026-04-10 00:09:07+00:00,2026-04-16 22:56:23+00:00,1160114,False,False,0,1906.0,0.0,600436.0,0.003174359965092033,3,641,4
vellum-ai/vellum-assistant,4431,20,1531,2026-04-10 00:04:30+00:00,2026-04-16 22:46:41+00:00,10961940,False,False,1,221.55,0.3455201986007673,600131.0,0.007383387960295335,9,630,3
merge-demo/mergequeue-nx,1486,5,1379,2026-04-16 03:30:38+00:00,2026-04-16 22:58:52+00:00,1869790,False,False,1,297.2,0.9279946164199192,70094.0,0.021200102719205638,5,623,5
mrjoshiroshan/ValueFabric,679,1,0,2026-04-15 07:09:20+00:00,2026-04-15 07:15:01+00:00,424953,False,False,0,679.0,0.0,341.0,1.9912023460410557,1,622,5
khd0425/liteLLM,615,1,0,2026-04-16 00:59:39+00:00,2026-04-16 01:10:26+00:00,374779,False,False,0,615.0,0.0,647.0,0.9505409582689336,1,615,5
educatedman/couragous,619,1,0,2026-04-14 19:47:56+00:00,2026-04-14 20:49:05+00:00,376355,False,False,0,619.0,0.0,3669.0,0.16871082038702645,1,614,5
GameKyuubi/goose,680,2,1,2026-04-14 02:39:08+00:00,2026-04-14 22:31:14+00:00,463845,False,False,0,340.0,0.0014705882352941176,71526.0,0.009507032407795766,3,591,3
KudoKaito272/Mattermost,576,1,0,2026-04-16 04:23:54+00:00,2026-04-16 04:47:02+00:00,347412,False,False,0,576.0,0.0,1388.0,0.414985590778098,1,576,5
safwan370/MatterMost,577,1,0,2026-04-16 03:05:27+00:00,2026-04-16 03:28:11+00:00,339037,False,False,0,577.0,0.0,1364.0,0.42302052785923755,1,571,5
jeong-sik/masc-mcp,3745,5,530,2026-04-10 00:31:53+00:00,2026-04-16 21:40:21+00:00,7511528,False,False,0,749.0,0.14152202937249667,594508.0,0.006299326501914188,9,544,3
syamilnajhan/Chat-application,529,1,0,2026-04-15 07:35:19+00:00,2026-04-15 07:58:39+00:00,325890,False,False,0,529.0,0.0,1400.0,0.37785714285714284,1,528,5
MetaMask/metamask-mobile,3206,109,2086,2026-04-10 00:00:14+00:00,2026-04-16 22:59:57+00:00,9469934,False,False,1,29.412844036697248,0.6506550218340611,601183.0,0.0053328187922812185,9,527,5
Shubham22111710/PerfettoMigration,526,1,0,2026-04-14 11:11:07+00:00,2026-04-14 11:15:50+00:00,337494,True,False,0,526.0,0.0,283.0,1.8586572438162545,1,526,8
prawn-test-production-rw/mg-service-test,1748,2,1748,2026-04-10 00:24:14+00:00,2026-04-16 22:19:11+00:00,3431848,False,False,1,874.0,1.0,597297.0,0.0029265172937416395,6,524,5
odoo-dev/odoo,2475,402,687,2026-04-10 00:23:52+00:00,2026-04-16 22:56:10+00:00,1918928,False,False,1,6.156716417910448,0.2775757575757576,599538.0,0.00412817869759715,3,523,2
anandgeorgejohny/Cline-AI-CLI-aNd-Editor-,513,1,0,2026-04-16 11:32:24+00:00,2026-04-16 11:36:42+00:00,341601,False,False,0,513.0,0.0,258.0,1.9883720930232558,1,513,5
sfgroupltd78-gif/bitcoin,1873,1,0,2026-04-10 10:39:32+00:00,2026-04-16 16:16:05+00:00,1340074,False,False,0,1873.0,0.0,538593.0,0.0034775795452224594,4,512,4
ClaudeFR63/cal.com,508,1,0,2026-04-11 15:31:36+00:00,2026-04-11 15:45:46+00:00,318908,False,False,0,508.0,0.0,850.0,0.5976470588235294,1,508,5
losshero0/openclaw,503,1,0,2026-04-13 04:04:36+00:00,2026-04-13 04:53:36+00:00,305631,False,False,0,503.0,0.0,2940.0,0.17108843537414967,1,503,5
vtest7894-cpu/blog,501,1,501,2026-04-10 00:03:50+00:00,2026-04-16 22:56:10+00:00,287574,False,False,0,501.0,1.0,600740.0,0.0008339714352298831,1,501,6
actions-canary/ForkPRCanary,1471,3,1471,2026-04-10 00:01:55+00:00,2026-04-16 22:46:46+00:00,1421917,False,False,1,490.3333333333333,1.0,600291.0,0.0024504781847470643,3,497,5
demergent-labs/azle,946,1,946,2026-04-10 10:25:07+00:00,2026-04-16 10:40:47+00:00,887430,False,False,1,946.0,1.0,519340.0,0.0018215427273077368,2,493,6
s253567675/Huggingface,493,1,0,2026-04-15 08:32:22+00:00,2026-04-15 08:57:32+00:00,293356,False,False,0,493.0,0.0,1510.0,0.3264900662251656,1,493,5
vikramjaglan11official-oss/goose-agent,490,1,0,2026-04-12 17:53:12+00:00,2026-04-12 17:56:52+00:00,339368,False,False,0,490.0,0.0,220.0,2.227272727272727,1,490,5
bbq-beets/ForkPRCanary,1014,2,1014,2026-04-10 00:01:39+00:00,2026-04-16 22:46:45+00:00,756142,False,False,1,507.0,1.0,600306.0,0.0016891385393449341,2,482,5
predohenr/mining-framework-analysis,498,1,0,2026-04-10 00:37:58+00:00,2026-04-16 21:48:49+00:00,368476,False,False,0,498.0,0.0,594651.0,0.0008374660094744649,3,481,4
vm0-ai/vm0,2568,12,1408,2026-04-10 00:05:35+00:00,2026-04-16 22:24:04+00:00,7741869,False,False,1,214.0,0.5482866043613707,598709.0,0.004289228991045733,9,476,5
prawn-test-staging-rw/mg-service-test,1598,2,1598,2026-04-10 00:48:58+00:00,2026-04-16 22:25:57+00:00,3052889,False,False,1,799.0,1.0,596219.0,0.0026802232065734235,6,476,5
parthivshah1/ps_transformers,476,1,0,2026-04-16 16:51:53+00:00,2026-04-16 17:17:52+00:00,293932,False,False,0,476.0,0.0,1559.0,0.30532392559332905,1,476,5
fa-assistant/jaffle_shop,911,1,0,2026-04-10 00:00:59+00:00,2026-04-16 22:52:41+00:00,531985,False,False,0,911.0,0.0,600702.0,0.0015165589593508929,2,474,4
Justfriends-hub/openclaw,469,1,0,2026-04-11 20:09:48+00:00,2026-04-11 20:57:49+00:00,310446,False,False,0,469.0,0.0,2881.0,0.16279069767441862,1,469,5
QCADevProd/qdo-canary-pullrequestscan-prod-eu-central-1,1917,2,1079,2026-04-10 00:07:57+00:00,2026-04-16 22:58:54+00:00,6259614,False,False,0,958.5,0.5628586332811685,600657.0,0.0031915053016946444,5,456,5
