actor_login,window_start,event_count
6[bot],2026-04-16 04:40:00+00:00,20
6[bot],2026-04-16 21:40:00+00:00,21
CrowdinBot,2026-04-16 00:10:00+00:00,21
adhoc-cicd-bot,2026-04-16 00:20:00+00:00,20
adhoc-cicd-bot,2026-04-16 00:30:00+00:00,34
aikido-autofix[bot],2026-04-16 00:10:00+00:00,59
aleph-prover[bot],2026-04-16 21:20:00+00:00,45
atlantis-e2e-test[bot],2026-04-16 03:50:00+00:00,24
atlantis-e2e-test[bot],2026-04-16 04:40:00+00:00,22
atlantis-e2e-test[bot],2026-04-16 05:10:00+00:00,31
azure-pipelines[bot],2026-04-16 09:10:00+00:00,41
baton-admin[bot],2026-04-16 10:50:00+00:00,42
bors-ferrocene[bot],2026-04-16 16:10:00+00:00,22
bors-ferrocene[bot],2026-04-16 16:20:00+00:00,32
bors-ferrocene[bot],2026-04-16 17:30:00+00:00,35
bors-ferrocene[bot],2026-04-16 20:00:00+00:00,30
bors-ferrocene[bot],2026-04-16 20:10:00+00:00,29
bors-ferrocene[bot],2026-04-16 20:20:00+00:00,33
bors-ferrocene[bot],2026-04-16 20:30:00+00:00,38
bors-ferrocene[bot],2026-04-16 20:40:00+00:00,39
bors-ferrocene[bot],2026-04-16 20:50:00+00:00,26
bors-ferrocene[bot],2026-04-16 21:00:00+00:00,33
bors-ferrocene[bot],2026-04-16 21:10:00+00:00,39
bors-ferrocene[bot],2026-04-16 21:20:00+00:00,35
bors-ferrocene[bot],2026-04-16 21:30:00+00:00,31
bot-swbs,2026-04-16 01:00:00+00:00,39
bulldozer-bot[bot],2026-04-16 11:50:00+00:00,35
bulldozer-bot[bot],2026-04-16 12:40:00+00:00,21
chatgpt-codex-connector[bot],2026-04-16 00:00:00+00:00,45
chatgpt-codex-connector[bot],2026-04-16 00:10:00+00:00,23
chatgpt-codex-connector[bot],2026-04-16 00:20:00+00:00,40
chatgpt-codex-connector[bot],2026-04-16 00:30:00+00:00,49
chatgpt-codex-connector[bot],2026-04-16 00:40:00+00:00,43
chatgpt-codex-connector[bot],2026-04-16 00:50:00+00:00,30
chatgpt-codex-connector[bot],2026-04-16 01:00:00+00:00,47
chatgpt-codex-connector[bot],2026-04-16 01:10:00+00:00,38
chatgpt-codex-connector[bot],2026-04-16 01:30:00+00:00,38
chatgpt-codex-connector[bot],2026-04-16 01:40:00+00:00,32
chatgpt-codex-connector[bot],2026-04-16 01:50:00+00:00,21
chatgpt-codex-connector[bot],2026-04-16 02:10:00+00:00,28
chatgpt-codex-connector[bot],2026-04-16 02:20:00+00:00,29
chatgpt-codex-connector[bot],2026-04-16 03:00:00+00:00,33
chatgpt-codex-connector[bot],2026-04-16 03:10:00+00:00,28
chatgpt-codex-connector[bot],2026-04-16 03:20:00+00:00,23
chatgpt-codex-connector[bot],2026-04-16 03:30:00+00:00,24
chatgpt-codex-connector[bot],2026-04-16 03:40:00+00:00,45
chatgpt-codex-connector[bot],2026-04-16 03:50:00+00:00,44
chatgpt-codex-connector[bot],2026-04-16 04:00:00+00:00,60
chatgpt-codex-connector[bot],2026-04-16 04:10:00+00:00,41
chatgpt-codex-connector[bot],2026-04-16 04:20:00+00:00,41
chatgpt-codex-connector[bot],2026-04-16 04:30:00+00:00,32
chatgpt-codex-connector[bot],2026-04-16 04:40:00+00:00,43
chatgpt-codex-connector[bot],2026-04-16 04:50:00+00:00,29
chatgpt-codex-connector[bot],2026-04-16 05:00:00+00:00,44
chatgpt-codex-connector[bot],2026-04-16 05:10:00+00:00,39
chatgpt-codex-connector[bot],2026-04-16 05:20:00+00:00,32
chatgpt-codex-connector[bot],2026-04-16 05:30:00+00:00,33
chatgpt-codex-connector[bot],2026-04-16 05:40:00+00:00,33
chatgpt-codex-connector[bot],2026-04-16 06:20:00+00:00,28
chatgpt-codex-connector[bot],2026-04-16 06:30:00+00:00,36
chatgpt-codex-connector[bot],2026-04-16 06:50:00+00:00,20
chatgpt-codex-connector[bot],2026-04-16 07:00:00+00:00,20
chatgpt-codex-connector[bot],2026-04-16 07:10:00+00:00,21
chatgpt-codex-connector[bot],2026-04-16 10:40:00+00:00,20
chatgpt-codex-connector[bot],2026-04-16 20:00:00+00:00,22
chatgpt-codex-connector[bot],2026-04-16 20:30:00+00:00,21
chatgpt-codex-connector[bot],2026-04-16 21:00:00+00:00,36
chatgpt-codex-connector[bot],2026-04-16 21:10:00+00:00,25
chatgpt-codex-connector[bot],2026-04-16 21:20:00+00:00,31
chatgpt-codex-connector[bot],2026-04-16 21:30:00+00:00,38
chatgpt-codex-connector[bot],2026-04-16 21:40:00+00:00,22
chatgpt-codex-connector[bot],2026-04-16 21:50:00+00:00,36
chatgpt-codex-connector[bot],2026-04-16 22:00:00+00:00,45
chatgpt-codex-connector[bot],2026-04-16 22:10:00+00:00,38
chatgpt-codex-connector[bot],2026-04-16 22:20:00+00:00,45
chatgpt-codex-connector[bot],2026-04-16 22:30:00+00:00,51
chatgpt-codex-connector[bot],2026-04-16 22:40:00+00:00,46
chatgpt-codex-connector[bot],2026-04-16 22:50:00+00:00,60
chatwoot-bot,2026-04-16 11:10:00+00:00,22
chatwoot-bot,2026-04-16 11:20:00+00:00,25
chatwoot-bot,2026-04-16 14:10:00+00:00,23
claude[bot],2026-04-16 00:10:00+00:00,20
claude[bot],2026-04-16 00:20:00+00:00,21
claude[bot],2026-04-16 03:40:00+00:00,21
claude[bot],2026-04-16 04:20:00+00:00,22
claude[bot],2026-04-16 05:00:00+00:00,20
claude[bot],2026-04-16 21:50:00+00:00,25
claude[bot],2026-04-16 22:20:00+00:00,38
claude[bot],2026-04-16 22:40:00+00:00,24
claude[bot],2026-04-16 22:50:00+00:00,26
claudecodejg-bot,2026-04-16 00:00:00+00:00,23
claudecodejg-bot,2026-04-16 00:10:00+00:00,29
claudecodejg-bot,2026-04-16 00:20:00+00:00,25
claudecodejg-bot,2026-04-16 00:30:00+00:00,29
claudecodejg-bot,2026-04-16 00:40:00+00:00,27
claudecodejg-bot,2026-04-16 00:50:00+00:00,21
claudecodejg-bot,2026-04-16 01:00:00+00:00,24
claudecodejg-bot,2026-04-16 01:10:00+00:00,27
claudecodejg-bot,2026-04-16 01:20:00+00:00,23
claudecodejg-bot,2026-04-16 01:30:00+00:00,26
claudecodejg-bot,2026-04-16 01:50:00+00:00,21
claudecodejg-bot,2026-04-16 02:10:00+00:00,23
claudecodejg-bot,2026-04-16 02:20:00+00:00,26
claudecodejg-bot,2026-04-16 02:30:00+00:00,27
claudecodejg-bot,2026-04-16 02:40:00+00:00,26
claudecodejg-bot,2026-04-16 03:00:00+00:00,23
claudecodejg-bot,2026-04-16 03:10:00+00:00,25
claudecodejg-bot,2026-04-16 03:20:00+00:00,20
claudecodejg-bot,2026-04-16 03:30:00+00:00,21
claudecodejg-bot,2026-04-16 03:50:00+00:00,26
claudecodejg-bot,2026-04-16 04:00:00+00:00,25
