repo_name,total_events,unique_actors,bot_events,first_event,last_event,total_payload_b,phish_name_flag,ai_coauthor_flag,unique_orgs,events_per_actor,bot_ratio,time_span_s,events_per_second,event_type_diversity,distinct_branches,suspicious_score
swesmith-uva/django__django.65dfb06a,1623,1,0,2026-04-16 09:27:56+00:00,2026-04-16 09:44:28+00:00,1338975,False,False,1,1623.0,0.0,992.0,1.6360887096774193,1,1623,5
merge-demo/mergequeue-bazel,2733,7,2520,2026-04-16 00:00:43+00:00,2026-04-16 22:59:19+00:00,3098760,False,False,1,390.42857142857144,0.9220636663007684,82716.0,0.03304076599448716,5,730,5
trunk-io/mergequeue-demo,3266,3,3125,2026-04-16 00:00:34+00:00,2026-04-16 14:30:35+00:00,3226018,False,False,1,1088.6666666666667,0.9568279240661359,52201.0,0.06256585122890367,5,634,5
merge-demo/mergequeue-nx,1486,5,1379,2026-04-16 03:30:38+00:00,2026-04-16 22:58:52+00:00,1869790,False,False,1,297.2,0.9279946164199192,70094.0,0.021200102719205638,5,623,5
khd0425/liteLLM,615,1,0,2026-04-16 00:59:39+00:00,2026-04-16 01:10:26+00:00,374779,False,False,0,615.0,0.0,647.0,0.9505409582689336,1,615,5
mobbcitestjob/ai-blame-e2e-tests,1939,12,98,2026-04-16 05:20:46+00:00,2026-04-16 22:49:38+00:00,2045989,False,False,0,161.58333333333334,0.05054151624548736,62932.0,0.03081103413207907,5,594,3
KudoKaito272/Mattermost,576,1,0,2026-04-16 04:23:54+00:00,2026-04-16 04:47:02+00:00,347412,False,False,0,576.0,0.0,1388.0,0.414985590778098,1,576,5
safwan370/MatterMost,577,1,0,2026-04-16 03:05:27+00:00,2026-04-16 03:28:11+00:00,339037,False,False,0,577.0,0.0,1364.0,0.42302052785923755,1,571,5
leandrohstein/transporteservico-urbs-data,2775,1,0,2026-04-16 00:00:14+00:00,2026-04-16 22:59:17+00:00,1989323,False,False,0,2775.0,0.0,82743.0,0.0335375802182662,4,557,4
anandgeorgejohny/Cline-AI-CLI-aNd-Editor-,513,1,0,2026-04-16 11:32:24+00:00,2026-04-16 11:36:42+00:00,341601,False,False,0,513.0,0.0,258.0,1.9883720930232558,1,513,5
parthivshah1/ps_transformers,476,1,0,2026-04-16 16:51:53+00:00,2026-04-16 17:17:52+00:00,293932,False,False,0,476.0,0.0,1559.0,0.30532392559332905,1,476,5
Angeluis001/openclaw,449,1,0,2026-04-16 03:33:10+00:00,2026-04-16 04:24:51+00:00,280347,False,False,0,449.0,0.0,3101.0,0.14479200257981295,1,449,5
docker-hardened-images/log,1513,1,1513,2026-04-16 00:52:40+00:00,2026-04-16 22:55:53+00:00,2183964,False,False,1,1513.0,1.0,79393.0,0.01905709571372791,5,414,6
Guoshizeng/openclaw,380,1,0,2026-04-16 13:13:16+00:00,2026-04-16 14:06:29+00:00,234518,False,False,0,380.0,0.0,3193.0,0.11901033510804886,1,380,5
umairit/opentelemetry-collector-contrib,3775,2,3693,2026-04-16 09:41:49+00:00,2026-04-16 11:54:41+00:00,2978452,False,False,0,1887.5,0.9782781456953642,7972.0,0.4735323632714501,3,371,6
zhoudka1974/llvm-project,353,1,0,2026-04-16 10:28:24+00:00,2026-04-16 11:03:47+00:00,256890,False,False,0,353.0,0.0,2123.0,0.16627414036740462,1,353,5
kjuhwa/skills-hub,703,1,0,2026-04-16 00:52:29+00:00,2026-04-16 22:59:02+00:00,492913,False,False,0,703.0,0.0,79593.0,0.008832435013129296,5,334,4
local-dev-appsec-org/elasticsearch-test,286,1,0,2026-04-16 16:41:22+00:00,2026-04-16 16:56:39+00:00,232770,False,False,1,286.0,0.0,917.0,0.311886586695747,1,286,5
cleanstart-dev/cleanstart-security-advisories,757,1,0,2026-04-16 01:05:35+00:00,2026-04-16 01:43:30+00:00,769708,False,False,1,757.0,0.0,2275.0,0.33274725274725275,3,242,5
vtest7894-cpu/test-monorepo,204,1,0,2026-04-16 00:00:34+00:00,2026-04-16 22:55:56+00:00,123420,False,False,0,204.0,0.0,82522.0,0.002472068054579385,1,203,4
elastic/cloudbeat,752,6,735,2026-04-16 00:12:31+00:00,2026-04-16 22:58:20+00:00,918064,False,False,1,125.33333333333333,0.9773936170212766,81949.0,0.009176439004746855,6,177,5
Homebrew/homebrew-cask,491,12,232,2026-04-16 00:18:21+00:00,2026-04-16 22:55:48+00:00,502358,False,False,1,40.916666666666664,0.4725050916496945,81447.0,0.006028460225668226,7,175,3
boteatudor1985-bit/hashcat,159,1,0,2026-04-16 20:20:46+00:00,2026-04-16 20:24:30+00:00,99710,False,False,0,159.0,0.0,224.0,0.7098214285714286,1,159,5
prawn-test-staging-rw/mergequeue_service_test_commit_status,372,2,372,2026-04-16 03:07:17+00:00,2026-04-16 22:30:11+00:00,406843,False,False,1,186.0,1.0,69774.0,0.005331498839109124,5,158,5
google-test2/signclav2-probe-repo,433,3,0,2026-04-16 00:14:36+00:00,2026-04-16 22:59:37+00:00,382277,False,False,1,144.33333333333334,0.0,81901.0,0.00528687073417907,3,153,3
trilitech/octez-manager,204,1,0,2026-04-16 09:44:30+00:00,2026-04-16 14:54:06+00:00,156253,False,False,1,204.0,0.0,18576.0,0.010981912144702842,5,135,4
openshift-helm-charts/sandbox-2025-11,341,2,341,2026-04-16 05:41:35+00:00,2026-04-16 07:22:37+00:00,496689,False,False,1,170.5,1.0,6062.0,0.05625206202573408,6,132,5
isaac-fang-if/aiconfigurator,129,1,0,2026-04-16 07:18:05+00:00,2026-04-16 07:18:41+00:00,84962,True,False,0,129.0,0.0,36.0,3.5833333333333335,1,129,8
digitalocean-e2e/apps-deploy-on-push,341,1,0,2026-04-16 00:10:51+00:00,2026-04-16 22:56:23+00:00,207546,False,False,0,341.0,0.0,81932.0,0.004161987990040522,3,125,4
intel-lab-lkp/linux,122,1,0,2026-04-16 00:01:53+00:00,2026-04-16 22:50:38+00:00,89842,False,False,0,122.0,0.0,82125.0,0.0014855403348554034,1,122,4
ramincsy/Auto,487,1,0,2026-04-16 05:31:02+00:00,2026-04-16 20:31:01+00:00,374239,False,False,0,487.0,0.0,53999.0,0.00901868553121354,5,120,4
Homebrew/homebrew-core,499,14,262,2026-04-16 00:00:00+00:00,2026-04-16 22:46:42+00:00,769130,False,False,1,35.642857142857146,0.5250501002004008,82002.0,0.006085217433721129,7,117,5
security-alliance-bot/eth-phishing-detect,222,1,222,2026-04-16 00:01:58+00:00,2026-04-16 22:52:29+00:00,154254,False,False,0,222.0,1.0,82231.0,0.0026997117875253857,2,114,6
