repo_name,lockstep_windows,max_actors,total_events
openclaw/openclaw,45,22,862
NousResearch/hermes-agent,44,47,917
forrestchang/andrej-karpathy-skills,44,52,822
elastic/kibana,43,11,469
Expensify/App,43,12,653
llvm/llvm-project,42,16,385
PostHog/posthog,42,22,760
MetaMask/metamask-extension,40,9,309
tenstorrent/tt-metal,40,14,414
MetaMask/metamask-mobile,40,11,487
microsoft/vscode,39,11,480
google-test2/signclav2-probe-repo,38,3,385
anthropics/claude-code,36,17,706
StefanMaron/BusinessCentral.AL.Runner,36,4,666
VoltAgent/awesome-design-md,36,23,329
grafana/grafana,35,9,307
anomalyco/opencode,35,11,471
pytorch/pytorch,35,18,1016
openai/codex,35,15,524
NixOS/nixpkgs,34,14,483
