actor_login,total_events,unique_repos,unique_event_types,event_entropy,burst_fraction,median_gap_s,min_gap_s,span_hours,ai_coauthor,is_bot_actor,suspicious_human_score,susp_low_entropy,susp_burst,susp_high_volume,susp_single_type,susp_ai_coauthor
andrehoope,92,5,1,0.0,0.9340659340659341,11.0,2.0,7.453055555555555,False,False,4,1.0,1.0,1.0,1.0,0.0
DaoThree,1753,10,1,0.0,0.9098173515981736,4.0,0.0,22.982777777777777,False,False,4,1.0,1.0,1.0,1.0,0.0
Mohsin1214,21,1,1,0.0,1.0,3.0,1.0,0.019166666666666665,False,False,4,1.0,1.0,1.0,1.0,0.0
astragorse,77,4,1,0.0,0.8157894736842105,22.0,0.0,3.028888888888889,False,False,4,1.0,1.0,1.0,1.0,0.0
arnav2404,27,1,1,0.0,1.0,1.0,0.0,0.008888888888888889,False,False,4,1.0,1.0,1.0,1.0,0.0
wusiuyu,690,1,1,0.0,0.8577648766328012,8.0,0.0,22.75638888888889,False,False,4,1.0,1.0,1.0,1.0,0.0
amoccia,656,1,1,0.0,0.9923664122137404,2.0,0.0,15.676666666666666,False,False,4,1.0,1.0,1.0,1.0,0.0
Alegenio2,27,2,1,0.0,0.8461538461538461,2.0,0.0,14.05861111111111,False,False,4,1.0,1.0,1.0,1.0,0.0
ShiinDB-json,350,1,1,0.0,0.6790830945558739,4.0,0.0,22.70138888888889,False,False,4,1.0,1.0,1.0,1.0,0.0
QTTECH2023,84,1,1,0.0,0.6024096385542169,5.0,0.0,21.66,False,False,4,1.0,1.0,1.0,1.0,0.0
wishforgood,88,1,1,0.0,0.6091954022988506,14.0,2.0,11.45861111111111,False,False,4,1.0,1.0,1.0,1.0,0.0
Achitokun14,24,1,1,0.0,0.6086956521739131,38.0,2.0,3.9880555555555555,False,False,4,1.0,1.0,1.0,1.0,0.0
AbhishekKumar2180,35,1,1,0.0,1.0,2.0,1.0,0.02361111111111111,False,False,4,1.0,1.0,1.0,1.0,0.0
zhoudka1974,353,1,1,0.0,1.0,5.0,2.0,0.5897222222222223,False,False,4,1.0,1.0,1.0,1.0,0.0
LazyUnicornFounder,54,2,1,0.0,0.9245283018867925,2.0,0.0,18.66,False,False,4,1.0,1.0,1.0,1.0,0.0
Peter-Pink-Howitt,48,1,1,0.0,0.6808510638297872,7.0,0.0,13.170277777777779,False,False,4,1.0,1.0,1.0,1.0,0.0
ahankinson,34,2,1,0.0,0.7878787878787878,5.0,1.0,0.6811111111111111,False,False,4,1.0,1.0,1.0,1.0,0.0
artistenke,86,2,1,0.0,0.8117647058823529,24.0,0.0,3.211388888888889,False,False,4,1.0,1.0,1.0,1.0,0.0
abtorre,36,36,1,0.0,0.8571428571428571,16.0,10.0,0.2925,False,False,4,1.0,1.0,1.0,1.0,0.0
AniketGhotale,24,1,1,0.0,1.0,3.0,0.0,0.03944444444444444,False,False,4,1.0,1.0,1.0,1.0,0.0
TommyYow,29,1,1,0.0,1.0,2.5,0.0,0.0225,False,False,4,1.0,1.0,1.0,1.0,0.0
zhpphz,96,1,1,0.0,0.9789473684210527,4.0,1.0,2.9922222222222223,False,False,4,1.0,1.0,1.0,1.0,0.0
Assist071,6321,1,1,0.0,0.9856012658227848,10.0,0.0,22.99361111111111,False,False,4,1.0,1.0,1.0,1.0,0.0
talk2francis,88,1,1,0.0,0.735632183908046,4.0,0.0,20.506666666666668,False,False,4,1.0,1.0,1.0,1.0,0.0
ArnSngh,31,1,1,0.0,0.9,8.0,0.0,0.45361111111111113,False,False,4,1.0,1.0,1.0,1.0,0.0
Guoshizeng,380,1,1,0.0,0.9947229551451188,2.0,0.0,0.8869444444444444,False,False,4,1.0,1.0,1.0,1.0,0.0
EYEFRONT,3217,1,1,0.0,0.9393656716417911,16.0,0.0,22.876666666666665,False,False,4,1.0,1.0,1.0,1.0,0.0
RamseyNjire,22,1,1,0.0,0.8571428571428571,4.0,2.0,18.004444444444445,False,False,4,1.0,1.0,1.0,1.0,0.0
arjunrathod450,188,1,1,0.0,0.9946524064171123,5.0,0.0,0.7419444444444444,False,False,4,1.0,1.0,1.0,1.0,0.0
abileer-te,88,2,1,0.0,0.8045977011494253,23.0,0.0,3.1025,False,False,4,1.0,1.0,1.0,1.0,0.0
zoids901-debug,29,2,1,0.0,0.7142857142857143,6.0,1.0,8.461388888888889,False,False,4,1.0,1.0,1.0,1.0,0.0
MilosKozak,22,2,1,0.0,0.6666666666666666,2.0,0.0,21.58972222222222,False,False,4,1.0,1.0,1.0,1.0,0.0
