repo_name,total_events,unique_actors,bot_ratio,events_per_actor,events_per_second,distinct_branches,z_total_events,z_unique_actors,z_bot_ratio,z_events_per_actor,z_events_per_second,z_distinct_branches,max_z,anomaly_feature
evahfkh/ManifestHub,5102,1,0.0,5102.0,0.23852267414679756,5087,70.06506157722244,-0.050671985279635054,-0.46454989815209413,73.92336854487252,-0.43580344344249544,904.645965069624,904.645965069624,distinct_branches
forrestchang/andrej-karpathy-skills,3213,3190,0.0018674136321195146,1.0072100313479624,0.012579281183932346,0,44.098283852755586,826.9748536146581,-0.45938628128590125,-0.0453050380815444,-0.8538580187256878,-0.07819981116581376,826.9748536146581,unique_actors
NousResearch/hermes-agent,3404,2741,0.005581668625146886,1.241882524626049,0.01332790402656184,100,46.723828874128365,710.5325641839988,-0.44911593228691205,-0.04190209011260766,-0.8524728699925526,17.706824070902,710.5325641839988,unique_actors
Swathy1209/orchestrai-agent,41580,1,0.0,41580.0,0.16272061988807576,13,571.5029217323848,-0.050671985279635054,-0.46454989815209413,602.8849621125397,-0.5760571378885718,2.233853293503002,602.8849621125397,events_per_actor
minagocorporation-ux/Dsgghjfghdf,35665,1,0.0,35665.0,0.13954370987115733,0,490.19350392390345,-0.050671985279635054,-0.46454989815209413,517.1125012881317,-0.6189405041443492,-0.07819981116581376,517.1125012881317,events_per_actor
swesmith-uva/django__django.65dfb06a,2831,1,0.0,2831.0,0.04220963172804532,2829,38.84719381001004,-0.050671985279635054,-0.46454989815209413,40.99196389022666,-0.7990340938046031,503.0601258125327,503.0601258125327,distinct_branches
mobineck/https-github.com-JetBrains-intellij-community,2569,1,0.0,2569.0,1.0798654897015554,2132,35.24566084875524,-0.050671985279635054,-0.46454989815209413,37.19274415464003,1.120901573739031,379.09850935452005,379.09850935452005,distinct_branches
merge-demo/mergequeue-bazel,8911,7,0.9161710245763663,1273.0,0.03487848696802577,2124,122.42475260554124,1.5053496997625808,2.068770022753888,18.399657218303155,-0.8125986356520086,377.6757074439546,377.6757074439546,distinct_branches
waqar0345/Sid,24255,1,0.0,24255.0,0.09489845024629386,0,333.34811809215813,-0.050671985279635054,-0.46454989815209413,351.65793188720295,-0.7015459514917195,-0.07819981116581376,351.65793188720295,events_per_actor
bolividob/bibkreyol-comments-data,24094,1,0.0,24094.0,0.0942652133428274,0,331.1349623411581,-0.050671985279635054,-0.46454989815209413,349.3232968588463,-0.7027176059546398,-0.07819981116581376,349.3232968588463,events_per_actor
hyperspaceai/agi,22675,3,0.9999558985667034,7558.333333333333,0.08871769189235718,26,311.62894985252996,0.4680019097344369,2.30044498807869,109.54226196922089,-0.7129819765717169,4.545906398171819,311.62894985252996,total_events
escapingwork/teenagerspopulation,21059,1,0.0,21059.0,0.08241205636845339,0,289.4149144884546,-0.050671985279635054,-0.46454989815209413,305.31325144852036,-0.7246490571898674,-0.07819981116581376,305.31325144852036,events_per_actor
leandrohstein/transporteservico-urbs-data,8186,1,0.0,8186.0,0.03204039297037066,1705,112.45867857153465,-0.050671985279635054,-0.46454989815209413,118.64395505078528,-0.8178498543986373,303.15645737809047,303.15645737809047,distinct_branches
Assist071/MyLoaderUpdates,20234,1,0.0,20234.0,0.0791692588201691,0,278.07420955320566,-0.050671985279635054,-0.46454989815209413,293.3500595330281,-0.7306490837186368,-0.07819981116581376,293.3500595330281,events_per_actor
VoltAgent/awesome-design-md,1065,1056,0.0009389671361502347,1.0085227272727273,0.00417815823646414,0,14.57121209407121,273.54980763464334,-0.4619535443193746,-0.045286002889696336,-0.8694023010330839,-0.07819981116581376,273.54980763464334,unique_actors
b74laser/LakeShore,18760,1,0.0,18760.0,0.07340167462242742,0,257.8121500688943,-0.050671985279635054,-0.46454989815209413,271.975823310682,-0.7413206281731066,-0.07819981116581376,271.975823310682,events_per_actor
mobbcitestjob/ai-blame-e2e-tests,4848,12,0.053011551155115515,404.0,0.021165129924559933,1508,66.57349908806702,2.8020344372977606,-0.31796676577080296,5.798428400651345,-0.8379719452201052,268.11996033041686,268.11996033041686,distinct_branches
KarolisZemaitis/karolis-bots-memory,18102,1,0.0,18102.0,0.07305880786042063,0,248.76707873872007,-0.050671985279635054,-0.46454989815209413,262.43427145565914,-0.741955021667379,-0.07819981116581376,262.43427145565914,events_per_actor
JuliusBrussee/caveman,1002,993,0.0029940119760479044,1.0090634441087614,0.0039275942897012365,0,13.705194626288568,257.21157994170005,-0.4562711052423747,-0.0452781620420825,-0.8698659100945024,-0.07819981116581376,257.21157994170005,unique_actors
itkymcpndghq123/dds11,17226,1,0.0,17226.0,0.09502584442593379,1,236.72531204383762,-0.050671985279635054,-0.46454989815209413,249.7315367672092,-0.7013102388250886,0.09965042765486443,249.7315367672092,events_per_actor
gaston1799/RobloxLua,17038,1,0.0,17038.0,0.06666223242966192,0,234.1410059495021,-0.050671985279635054,-0.46454989815209413,247.0053790943455,-0.7537903649801717,-0.07819981116581376,247.0053790943455,events_per_actor
thedotmack/claude-mem,1105,880,0.0334841628959276,1.2556818181818181,0.004327597145744073,3,15.121064454568126,227.906504873405,-0.37196227572828133,-0.04170198878278235,-0.8691257998310323,0.45535090529622074,227.906504873405,unique_actors
obra/superpowers,807,788,0.0024783147459727386,1.0241116751269035,0.0031753401588063552,1,11.024664368866103,204.0475057027577,-0.457697068333392,-0.04505995007158712,-0.8712577776639515,0.09965042765486443,204.0475057027577,unique_actors
openclaw/openclaw,3094,781,0.46347769877181644,3.961587708066581,0.01210887814805393,39,42.46247308027726,202.2321470702084,0.8170200879072452,-0.002464083975567573,-0.854728387798212,6.857959502840634,202.2321470702084,unique_actors
