repo_name,total_events,unique_actors,bot_events,first_event,last_event,total_payload_b,phish_name_flag,ai_coauthor_flag,unique_orgs,events_per_actor,bot_ratio,time_span_s,events_per_second,event_type_diversity,distinct_branches,suspicious_score
evahfkh/ManifestHub,5102,1,0,2026-04-14 00:00:14+00:00,2026-04-14 05:56:44+00:00,2766732,False,False,0,5102.0,0.0,21390.0,0.23852267414679756,1,5087,5
swesmith-uva/django__django.65dfb06a,2831,1,0,2026-04-15 15:06:38+00:00,2026-04-16 09:44:28+00:00,2335575,False,False,1,2831.0,0.0,67070.0,0.04220963172804532,1,2829,4
mobineck/https-github.com-JetBrains-intellij-community,2569,1,0,2026-04-14 06:43:58+00:00,2026-04-14 07:23:37+00:00,1717448,False,False,0,2569.0,0.0,2379.0,1.0798654897015554,1,2132,5
merge-demo/mergequeue-bazel,8911,7,8164,2026-04-14 00:01:12+00:00,2026-04-16 22:59:19+00:00,10331323,False,False,1,1273.0,0.9161710245763663,255487.0,0.03487848696802577,5,2124,5
leandrohstein/transporteservico-urbs-data,8186,1,0,2026-04-14 00:01:07+00:00,2026-04-16 22:59:17+00:00,5891941,False,False,0,8186.0,0.0,255490.0,0.03204039297037066,4,1705,4
mobbcitestjob/ai-blame-e2e-tests,4848,12,257,2026-04-14 07:12:02+00:00,2026-04-16 22:49:38+00:00,5201793,False,False,0,404.0,0.053011551155115515,229056.0,0.021165129924559933,5,1508,3
mika-stoessel/n8n,1081,1,0,2026-04-14 13:46:23+00:00,2026-04-14 14:06:01+00:00,671964,False,False,0,1081.0,0.0,1178.0,0.9176570458404074,1,1071,5
shadowm-mounarch/yolo-test,1655,1,0,2026-04-14 17:14:21+00:00,2026-04-15 15:41:39+00:00,1067257,False,False,0,1655.0,0.0,80838.0,0.020473044855142383,4,1023,4
trunk-io/mergequeue-demo,4761,3,4537,2026-04-15 17:27:40+00:00,2026-04-16 14:30:35+00:00,4848042,False,False,1,1587.0,0.9529510607015332,75775.0,0.06283074892774662,5,958,5
Husninaazra/gitlab,919,1,0,2026-04-15 09:42:39+00:00,2026-04-15 09:53:06+00:00,595185,False,False,0,919.0,0.0,627.0,1.4657097288676235,1,919,5
docker-hardened-images/log,2960,1,2960,2026-04-14 03:44:44+00:00,2026-04-16 22:55:53+00:00,4144145,False,False,1,2960.0,1.0,241869.0,0.012238029677221967,5,832,6
merge-demo/mergequeue-nx,1486,5,1379,2026-04-16 03:30:38+00:00,2026-04-16 22:58:52+00:00,1869790,False,False,1,297.2,0.9279946164199192,70094.0,0.021200102719205638,5,623,5
mrjoshiroshan/ValueFabric,679,1,0,2026-04-15 07:09:20+00:00,2026-04-15 07:15:01+00:00,424953,False,False,0,679.0,0.0,341.0,1.9912023460410557,1,622,5
khd0425/liteLLM,615,1,0,2026-04-16 00:59:39+00:00,2026-04-16 01:10:26+00:00,374779,False,False,0,615.0,0.0,647.0,0.9505409582689336,1,615,5
educatedman/couragous,619,1,0,2026-04-14 19:47:56+00:00,2026-04-14 20:49:05+00:00,376355,False,False,0,619.0,0.0,3669.0,0.16871082038702645,1,614,5
vtest7894-cpu/test-monorepo,598,1,0,2026-04-14 00:01:22+00:00,2026-04-16 22:55:56+00:00,361790,False,False,0,598.0,0.0,255274.0,0.002342580913058126,1,597,4
GameKyuubi/goose,680,2,1,2026-04-14 02:39:08+00:00,2026-04-14 22:31:14+00:00,463845,False,False,0,340.0,0.0014705882352941176,71526.0,0.009507032407795766,3,591,3
KudoKaito272/Mattermost,576,1,0,2026-04-16 04:23:54+00:00,2026-04-16 04:47:02+00:00,347412,False,False,0,576.0,0.0,1388.0,0.414985590778098,1,576,5
safwan370/MatterMost,577,1,0,2026-04-16 03:05:27+00:00,2026-04-16 03:28:11+00:00,339037,False,False,0,577.0,0.0,1364.0,0.42302052785923755,1,571,5
Homebrew/homebrew-cask,1564,21,708,2026-04-14 01:31:12+00:00,2026-04-16 22:55:48+00:00,1621396,False,False,1,74.47619047619048,0.45268542199488493,249876.0,0.006259104515839857,9,544,3
syamilnajhan/Chat-application,529,1,0,2026-04-15 07:35:19+00:00,2026-04-15 07:58:39+00:00,325890,False,False,0,529.0,0.0,1400.0,0.37785714285714284,1,528,5
Shubham22111710/PerfettoMigration,526,1,0,2026-04-14 11:11:07+00:00,2026-04-14 11:15:50+00:00,337494,True,False,0,526.0,0.0,283.0,1.8586572438162545,1,526,8
anandgeorgejohny/Cline-AI-CLI-aNd-Editor-,513,1,0,2026-04-16 11:32:24+00:00,2026-04-16 11:36:42+00:00,341601,False,False,0,513.0,0.0,258.0,1.9883720930232558,1,513,5
