repo_name,lockstep_windows,max_actors,total_events
forrestchang/andrej-karpathy-skills,138,71,3209
openclaw/openclaw,138,24,3086
NousResearch/hermes-agent,136,77,3394
llvm/llvm-project,135,18,1257
elastic/kibana,126,17,1606
Expensify/App,124,13,1489
MetaMask/metamask-mobile,123,14,1435
PostHog/posthog,123,24,2220
microsoft/vscode,121,16,1550
tenstorrent/tt-metal,121,18,1322
microsoft/winget-pkgs,119,11,2722
NixOS/nixpkgs,117,14,1991
anthropics/claude-code,116,17,2062
pytorch/pytorch,115,18,2794
JuliusBrussee/caveman,115,23,968
VoltAgent/awesome-design-md,114,26,1036
google-test2/signclav2-probe-repo,112,3,1187
openai/codex,111,16,1422
thedotmack/claude-mem,110,19,1064
NawfalMotii79/PLFM_RADAR,109,17,751
