actor_login,window_start,event_count
6[bot],2026-04-11 02:20:00+00:00,21
6[bot],2026-04-11 03:20:00+00:00,26
6[bot],2026-04-11 16:40:00+00:00,20
6[bot],2026-04-12 02:50:00+00:00,25
6[bot],2026-04-13 02:30:00+00:00,40
6[bot],2026-04-16 04:40:00+00:00,20
6[bot],2026-04-16 21:40:00+00:00,21
CrowdinBot,2026-04-13 20:40:00+00:00,55
CrowdinBot,2026-04-16 00:10:00+00:00,21
actions-test-bot[bot],2026-04-11 01:10:00+00:00,86
actions-test-bot[bot],2026-04-11 01:30:00+00:00,67
actions-test-bot[bot],2026-04-11 05:00:00+00:00,77
actions-test-bot[bot],2026-04-11 06:10:00+00:00,54
actions-test-bot[bot],2026-04-11 09:00:00+00:00,72
actions-test-bot[bot],2026-04-11 09:10:00+00:00,40
actions-test-bot[bot],2026-04-11 09:20:00+00:00,34
actions-test-bot[bot],2026-04-11 12:30:00+00:00,23
actions-test-bot[bot],2026-04-11 12:40:00+00:00,59
actions-test-bot[bot],2026-04-11 16:10:00+00:00,59
actions-test-bot[bot],2026-04-11 17:40:00+00:00,77
actions-test-bot[bot],2026-04-11 18:20:00+00:00,56
actions-test-bot[bot],2026-04-11 18:30:00+00:00,63
actions-test-bot[bot],2026-04-11 21:10:00+00:00,49
actions-test-bot[bot],2026-04-11 21:20:00+00:00,68
actions-test-bot[bot],2026-04-12 04:30:00+00:00,54
actions-test-bot[bot],2026-04-12 04:40:00+00:00,29
actions-test-bot[bot],2026-04-12 05:50:00+00:00,26
actions-test-bot[bot],2026-04-12 06:00:00+00:00,34
actions-test-bot[bot],2026-04-12 06:10:00+00:00,50
actions-test-bot[bot],2026-04-12 06:20:00+00:00,74
actions-test-bot[bot],2026-04-13 01:20:00+00:00,36
actions-test-bot[bot],2026-04-13 01:30:00+00:00,20
actions-test-bot[bot],2026-04-13 04:40:00+00:00,36
actions-test-bot[bot],2026-04-13 04:50:00+00:00,40
actions-test-bot[bot],2026-04-13 06:20:00+00:00,26
actions-test-bot[bot],2026-04-13 06:30:00+00:00,20
actions-test-bot[bot],2026-04-13 06:40:00+00:00,76
actions-test-bot[bot],2026-04-13 09:50:00+00:00,50
actions-test-bot[bot],2026-04-13 18:20:00+00:00,21
actions-test-bot[bot],2026-04-13 18:30:00+00:00,45
actions-test-bot[bot],2026-04-13 18:40:00+00:00,29
actions-test-bot[bot],2026-04-13 18:50:00+00:00,29
actions-test-bot[bot],2026-04-13 19:00:00+00:00,32
actions-test-bot[bot],2026-04-13 21:00:00+00:00,41
actions-test-bot[bot],2026-04-14 01:30:00+00:00,23
actions-test-bot[bot],2026-04-14 01:40:00+00:00,61
actions-test-bot[bot],2026-04-14 05:40:00+00:00,56
actions-test-bot[bot],2026-04-14 06:10:00+00:00,167
actions-test-bot[bot],2026-04-14 06:20:00+00:00,99
actions-test-bot[bot],2026-04-14 06:40:00+00:00,47
actions-test-bot[bot],2026-04-14 06:50:00+00:00,21
actions-test-bot[bot],2026-04-14 07:00:00+00:00,46
actions-test-bot[bot],2026-04-14 07:10:00+00:00,36
actions-test-bot[bot],2026-04-14 08:00:00+00:00,59
actions-test-bot[bot],2026-04-14 09:10:00+00:00,22
actions-test-bot[bot],2026-04-15 08:30:00+00:00,102
actions-test-bot[bot],2026-04-15 08:40:00+00:00,53
actions-test-bot[bot],2026-04-15 14:20:00+00:00,59
actions-test-bot[bot],2026-04-15 14:30:00+00:00,55
actions-test-bot[bot],2026-04-15 14:50:00+00:00,108
actions-test-bot[bot],2026-04-15 16:20:00+00:00,49
actions-test-bot[bot],2026-04-15 16:30:00+00:00,44
actions-test-bot[bot],2026-04-15 16:50:00+00:00,22
adhoc-cicd-bot,2026-04-15 00:20:00+00:00,25
adhoc-cicd-bot,2026-04-16 00:20:00+00:00,20
adhoc-cicd-bot,2026-04-16 00:30:00+00:00,34
agentbeats-dev[bot],2026-04-12 21:50:00+00:00,21
ai-code-review-bot-dw[bot],2026-04-11 05:10:00+00:00,28
ai-code-review-bot-dw[bot],2026-04-12 04:00:00+00:00,27
aiforcerapidfixapp[bot],2026-04-15 09:40:00+00:00,25
aikido-autofix[bot],2026-04-16 00:10:00+00:00,59
aleph-prover[bot],2026-04-16 21:20:00+00:00,45
angular-automatic-lock-bot[bot],2026-04-11 00:20:00+00:00,33
angular-automatic-lock-bot[bot],2026-04-12 00:20:00+00:00,27
api-clients-generation-pipeline[bot],2026-04-13 17:20:00+00:00,20
aptos-bot,2026-04-15 15:30:00+00:00,72
aptos-bot,2026-04-15 15:40:00+00:00,104
aptos-bot,2026-04-15 15:50:00+00:00,93
aptos-bot,2026-04-15 16:20:00+00:00,44
aptos-bot,2026-04-15 16:30:00+00:00,93
aptos-bot,2026-04-15 16:40:00+00:00,89
aquaproj-aqua-registry[bot],2026-04-11 05:10:00+00:00,27
aquaproj-aqua-registry[bot],2026-04-11 06:10:00+00:00,34
aquaproj-aqua-registry[bot],2026-04-11 07:30:00+00:00,37
aquaproj-aqua-registry[bot],2026-04-11 08:20:00+00:00,20
aquaproj-aqua-registry[bot],2026-04-11 09:10:00+00:00,21
aquaproj-aqua-registry[bot],2026-04-11 10:00:00+00:00,26
aquaproj-aqua-registry[bot],2026-04-11 10:50:00+00:00,24
aquaproj-aqua-registry[bot],2026-04-11 12:00:00+00:00,27
aquaproj-aqua-registry[bot],2026-04-11 13:20:00+00:00,22
aquaproj-aqua-registry[bot],2026-04-11 14:00:00+00:00,28
arkanaai[bot],2026-04-11 01:20:00+00:00,22
aryllabs[bot],2026-04-11 15:30:00+00:00,27
aryllabs[bot],2026-04-11 15:40:00+00:00,33
atlantis-e2e-test[bot],2026-04-10 04:50:00+00:00,21
atlantis-e2e-test[bot],2026-04-11 04:50:00+00:00,21
atlantis-e2e-test[bot],2026-04-12 05:00:00+00:00,20
atlantis-e2e-test[bot],2026-04-16 03:50:00+00:00,24
atlantis-e2e-test[bot],2026-04-16 04:40:00+00:00,22
atlantis-e2e-test[bot],2026-04-16 05:10:00+00:00,31
auto-merge-depandabot[bot],2026-04-12 04:00:00+00:00,20
av-ankit-mq[bot],2026-04-10 20:30:00+00:00,29
av-ankit-mq[bot],2026-04-10 20:40:00+00:00,32
av-ankit-mq[bot],2026-04-10 21:00:00+00:00,37
aviator-app[bot],2026-04-13 02:30:00+00:00,31
aviator-staging-onprem-k8s-split[bot],2026-04-10 20:00:00+00:00,38
aviator-staging-onprem-k8s-split[bot],2026-04-10 20:10:00+00:00,27
aviator-staging-onprem-k8s-split[bot],2026-04-11 01:30:00+00:00,29
aviator-staging-onprem-k8s-split[bot],2026-04-14 23:10:00+00:00,22
aviator-staging-onprem-k8s-split[bot],2026-04-14 23:20:00+00:00,36
aviator-staging-onprem-k8s-split[bot],2026-04-14 23:50:00+00:00,48
avm-organizer[bot],2026-04-11 05:50:00+00:00,49
avm-organizer[bot],2026-04-12 06:00:00+00:00,20
avm-organizer[bot],2026-04-14 06:10:00+00:00,20
azure-pipelines[bot],2026-04-10 04:40:00+00:00,20
azure-pipelines[bot],2026-04-10 04:50:00+00:00,21
azure-pipelines[bot],2026-04-16 09:10:00+00:00,41
backportbot[bot],2026-04-13 20:50:00+00:00,24
bakito-renovate[bot],2026-04-13 04:10:00+00:00,25
baton-admin[bot],2026-04-10 10:10:00+00:00,42
baton-admin[bot],2026-04-11 10:10:00+00:00,38
baton-admin[bot],2026-04-14 10:50:00+00:00,50
baton-admin[bot],2026-04-14 19:40:00+00:00,77
baton-admin[bot],2026-04-16 10:50:00+00:00,42
bfra-me[bot],2026-04-10 17:50:00+00:00,20
bfra-me[bot],2026-04-11 05:00:00+00:00,24
bfra-me[bot],2026-04-11 07:50:00+00:00,25
bfra-me[bot],2026-04-11 08:30:00+00:00,22
bfra-me[bot],2026-04-11 10:00:00+00:00,32
bfra-me[bot],2026-04-11 23:40:00+00:00,20
bfra-me[bot],2026-04-12 08:50:00+00:00,23
bfra-me[bot],2026-04-13 02:50:00+00:00,32
bfra-me[bot],2026-04-14 04:30:00+00:00,39
bfra-me[bot],2026-04-15 20:40:00+00:00,20
bima-uploader[bot],2026-04-12 08:40:00+00:00,40
bima-uploader[bot],2026-04-12 08:50:00+00:00,48
bima-uploader[bot],2026-04-12 09:00:00+00:00,43
bima-uploader[bot],2026-04-13 21:50:00+00:00,44
bima-uploader[bot],2026-04-13 22:00:00+00:00,27
bima-uploader[bot],2026-04-13 22:10:00+00:00,30
bima-uploader[bot],2026-04-13 22:20:00+00:00,27
bima-uploader[bot],2026-04-13 22:30:00+00:00,39
bima-uploader[bot],2026-04-13 22:40:00+00:00,38
bima-uploader[bot],2026-04-13 22:50:00+00:00,35
bima-uploader[bot],2026-04-13 23:00:00+00:00,27
bima-uploader[bot],2026-04-13 23:10:00+00:00,31
bima-uploader[bot],2026-04-13 23:20:00+00:00,24
bima-uploader[bot],2026-04-13 23:30:00+00:00,30
bima-uploader[bot],2026-04-13 23:40:00+00:00,43
bima-uploader[bot],2026-04-13 23:50:00+00:00,41
bima-uploader[bot],2026-04-14 00:00:00+00:00,35
bima-uploader[bot],2026-04-14 00:10:00+00:00,41
bima-uploader[bot],2026-04-14 00:20:00+00:00,33
bima-uploader[bot],2026-04-14 00:30:00+00:00,35
bima-uploader[bot],2026-04-14 00:40:00+00:00,40
bima-uploader[bot],2026-04-14 00:50:00+00:00,32
bima-uploader[bot],2026-04-14 01:10:00+00:00,32
bima-uploader[bot],2026-04-14 01:20:00+00:00,34
bima-uploader[bot],2026-04-14 01:30:00+00:00,33
bima-uploader[bot],2026-04-14 01:40:00+00:00,35
bima-uploader[bot],2026-04-14 01:50:00+00:00,22
bima-uploader[bot],2026-04-14 02:00:00+00:00,30
bima-uploader[bot],2026-04-14 02:10:00+00:00,29
bima-uploader[bot],2026-04-14 02:20:00+00:00,34
bima-uploader[bot],2026-04-14 02:30:00+00:00,23
bima-uploader[bot],2026-04-14 02:40:00+00:00,38
bima-uploader[bot],2026-04-14 02:50:00+00:00,37
bima-uploader[bot],2026-04-14 03:00:00+00:00,36
bima-uploader[bot],2026-04-14 03:10:00+00:00,32
bima-uploader[bot],2026-04-14 03:20:00+00:00,32
bima-uploader[bot],2026-04-14 03:30:00+00:00,31
bima-uploader[bot],2026-04-14 03:40:00+00:00,34
bima-uploader[bot],2026-04-14 03:50:00+00:00,34
bima-uploader[bot],2026-04-14 04:00:00+00:00,35
bima-uploader[bot],2026-04-14 04:10:00+00:00,43
bima-uploader[bot],2026-04-14 04:20:00+00:00,38
bima-uploader[bot],2026-04-14 04:30:00+00:00,32
bima-uploader[bot],2026-04-14 04:40:00+00:00,27
bima-uploader[bot],2026-04-14 04:50:00+00:00,40
bima-uploader[bot],2026-04-14 05:00:00+00:00,30
bima-uploader[bot],2026-04-14 05:10:00+00:00,35
bima-uploader[bot],2026-04-14 05:20:00+00:00,31
bima-uploader[bot],2026-04-14 05:30:00+00:00,32
bima-uploader[bot],2026-04-14 05:40:00+00:00,29
bima-uploader[bot],2026-04-14 05:50:00+00:00,27
bima-uploader[bot],2026-04-14 06:00:00+00:00,25
bima-uploader[bot],2026-04-14 06:10:00+00:00,28
bima-uploader[bot],2026-04-14 06:20:00+00:00,24
bima-uploader[bot],2026-04-14 06:30:00+00:00,22
bima-uploader[bot],2026-04-14 06:40:00+00:00,32
bima-uploader[bot],2026-04-14 06:50:00+00:00,20
bima-uploader[bot],2026-04-14 07:00:00+00:00,32
bima-uploader[bot],2026-04-14 07:10:00+00:00,27
bima-uploader[bot],2026-04-14 07:20:00+00:00,27
bima-uploader[bot],2026-04-14 07:30:00+00:00,26
bima-uploader[bot],2026-04-14 07:40:00+00:00,28
bima-uploader[bot],2026-04-14 07:50:00+00:00,25
bima-uploader[bot],2026-04-14 08:00:00+00:00,29
bima-uploader[bot],2026-04-14 08:10:00+00:00,33
bima-uploader[bot],2026-04-14 08:20:00+00:00,27
bima-uploader[bot],2026-04-14 08:30:00+00:00,35
bima-uploader[bot],2026-04-14 08:40:00+00:00,33
bima-uploader[bot],2026-04-14 08:50:00+00:00,22
bima-uploader[bot],2026-04-14 09:00:00+00:00,31
bima-uploader[bot],2026-04-14 09:10:00+00:00,29
bima-uploader[bot],2026-04-14 09:20:00+00:00,30
bima-uploader[bot],2026-04-14 09:30:00+00:00,35
bima-uploader[bot],2026-04-14 09:40:00+00:00,24
bima-uploader[bot],2026-04-14 09:50:00+00:00,27
bima-uploader[bot],2026-04-14 10:00:00+00:00,23
bima-uploader[bot],2026-04-14 10:10:00+00:00,25
bima-uploader[bot],2026-04-14 10:20:00+00:00,21
bima-uploader[bot],2026-04-14 10:30:00+00:00,30
bima-uploader[bot],2026-04-14 10:40:00+00:00,27
bima-uploader[bot],2026-04-14 10:50:00+00:00,29
bima-uploader[bot],2026-04-14 11:00:00+00:00,36
bima-uploader[bot],2026-04-14 11:10:00+00:00,22
bima-uploader[bot],2026-04-14 11:20:00+00:00,31
bima-uploader[bot],2026-04-14 11:30:00+00:00,29
bima-uploader[bot],2026-04-14 11:40:00+00:00,30
bima-uploader[bot],2026-04-14 11:50:00+00:00,23
bima-uploader[bot],2026-04-14 12:00:00+00:00,32
bima-uploader[bot],2026-04-14 12:10:00+00:00,25
bima-uploader[bot],2026-04-14 12:20:00+00:00,29
bima-uploader[bot],2026-04-14 12:30:00+00:00,27
bima-uploader[bot],2026-04-14 12:40:00+00:00,25
bima-uploader[bot],2026-04-14 12:50:00+00:00,28
bima-uploader[bot],2026-04-14 13:00:00+00:00,27
bima-uploader[bot],2026-04-14 13:10:00+00:00,24
bima-uploader[bot],2026-04-14 13:20:00+00:00,20
bima-uploader[bot],2026-04-14 13:30:00+00:00,28
bima-uploader[bot],2026-04-14 13:40:00+00:00,22
bima-uploader[bot],2026-04-14 13:50:00+00:00,23
bima-uploader[bot],2026-04-14 14:00:00+00:00,22
bima-uploader[bot],2026-04-14 14:10:00+00:00,28
bima-uploader[bot],2026-04-14 14:20:00+00:00,34
bima-uploader[bot],2026-04-14 14:30:00+00:00,24
bima-uploader[bot],2026-04-14 14:40:00+00:00,32
bima-uploader[bot],2026-04-14 14:50:00+00:00,31
bima-uploader[bot],2026-04-14 15:00:00+00:00,25
bima-uploader[bot],2026-04-14 15:10:00+00:00,21
bima-uploader[bot],2026-04-14 15:20:00+00:00,22
bima-uploader[bot],2026-04-14 15:30:00+00:00,30
bima-uploader[bot],2026-04-14 15:40:00+00:00,27
bima-uploader[bot],2026-04-14 15:50:00+00:00,27
bima-uploader[bot],2026-04-14 16:00:00+00:00,23
bima-uploader[bot],2026-04-14 16:10:00+00:00,34
bima-uploader[bot],2026-04-14 16:20:00+00:00,24
bima-uploader[bot],2026-04-14 16:30:00+00:00,25
bima-uploader[bot],2026-04-14 16:40:00+00:00,27
bima-uploader[bot],2026-04-14 16:50:00+00:00,25
bima-uploader[bot],2026-04-14 17:00:00+00:00,37
bima-uploader[bot],2026-04-14 17:10:00+00:00,27
bima-uploader[bot],2026-04-14 17:20:00+00:00,25
bima-uploader[bot],2026-04-14 17:30:00+00:00,28
bima-uploader[bot],2026-04-14 17:40:00+00:00,33
bima-uploader[bot],2026-04-14 17:50:00+00:00,30
bima-uploader[bot],2026-04-14 18:00:00+00:00,27
bima-uploader[bot],2026-04-14 18:10:00+00:00,24
bima-uploader[bot],2026-04-14 18:20:00+00:00,28
bima-uploader[bot],2026-04-14 18:30:00+00:00,29
bima-uploader[bot],2026-04-14 18:40:00+00:00,27
bima-uploader[bot],2026-04-14 18:50:00+00:00,23
bima-uploader[bot],2026-04-14 19:00:00+00:00,24
bima-uploader[bot],2026-04-14 19:10:00+00:00,28
bima-uploader[bot],2026-04-14 19:20:00+00:00,29
bima-uploader[bot],2026-04-14 19:30:00+00:00,31
bima-uploader[bot],2026-04-14 19:40:00+00:00,24
bima-uploader[bot],2026-04-14 19:50:00+00:00,25
bima-uploader[bot],2026-04-14 20:00:00+00:00,29
bima-uploader[bot],2026-04-14 20:10:00+00:00,32
bima-uploader[bot],2026-04-14 20:20:00+00:00,24
bima-uploader[bot],2026-04-14 20:30:00+00:00,21
bima-uploader[bot],2026-04-14 20:40:00+00:00,24
