actor_login,total_events,unique_repos,unique_event_types,event_entropy,burst_fraction,median_gap_s,min_gap_s,span_hours,ai_coauthor,is_bot_actor,suspicious_human_score,susp_low_entropy,susp_burst,susp_high_volume,susp_single_type,susp_ai_coauthor
utazkatos,536,2,1,0.0,0.983177570093458,7.0,0.0,6.628333333333333,False,False,4,1.0,1.0,1.0,1.0,0.0
Michelmacon,239,239,1,0.0,0.9369747899159664,12.0,0.0,119.29972222222223,False,False,4,1.0,1.0,1.0,1.0,0.0
vincenthul,82,2,1,0.0,0.7777777777777778,26.0,0.0,3.1344444444444446,False,False,4,1.0,1.0,1.0,1.0,0.0
13isthenewlucky7,24,24,1,0.0,0.782608695652174,28.0,1.0,0.265,False,False,4,1.0,1.0,1.0,1.0,0.0
AneTorisaki,702,2,1,0.0,0.6904422253922967,32.0,0.0,166.3563888888889,False,False,4,1.0,1.0,1.0,1.0,0.0
ydontae,39,1,1,0.0,0.9210526315789473,21.5,3.0,0.2972222222222222,False,False,4,1.0,1.0,1.0,1.0,0.0
skoweigra,104,2,1,0.0,0.7281553398058253,31.0,7.0,2.387777777777778,False,False,4,1.0,1.0,1.0,1.0,0.0
PrasidBhusal10,26,1,1,0.0,0.72,34.0,8.0,142.42277777777778,False,False,4,1.0,1.0,1.0,1.0,0.0
skodak,43,18,1,0.0,0.7142857142857143,8.0,2.0,88.8963888888889,False,False,4,1.0,1.0,1.0,1.0,0.0
abhivion,154,4,1,0.0,0.8954248366013072,13.0,0.0,14.996666666666666,False,False,4,1.0,1.0,1.0,1.0,0.0
sean456665,41,41,1,0.0,1.0,17.0,10.0,0.22527777777777777,False,False,4,1.0,1.0,1.0,1.0,0.0
Salomedodd,362,361,1,0.0,0.9529085872576177,10.0,0.0,119.11055555555555,False,False,4,1.0,1.0,1.0,1.0,0.0
Matrix-Mind,25,3,1,0.0,0.9166666666666666,0.0,0.0,0.08638888888888889,False,False,4,1.0,1.0,1.0,1.0,0.0
RamseyNjire,68,1,1,0.0,0.6567164179104478,5.0,1.0,162.0038888888889,False,False,4,1.0,1.0,1.0,1.0,0.0
vinod-o,201,1,1,0.0,0.785,30.0,14.0,7.683333333333334,False,False,4,1.0,1.0,1.0,1.0,0.0
shuigedeng,39,10,1,0.0,0.6578947368421053,19.0,3.0,126.36805555555556,False,False,4,1.0,1.0,1.0,1.0,0.0
CM2222,834,1,1,0.0,0.6974789915966386,33.0,0.0,155.66027777777776,False,False,4,1.0,1.0,1.0,1.0,0.0
sourceebatest45,24,1,1,0.0,1.0,15.0,1.0,0.09666666666666666,False,False,4,1.0,1.0,1.0,1.0,0.0
VeedKingz,26,2,1,0.0,0.64,1.0,0.0,22.95611111111111,False,False,4,1.0,1.0,1.0,1.0,0.0
supato-rick,59,1,1,0.0,0.9827586206896551,11.0,0.0,2.5097222222222224,False,False,4,1.0,1.0,1.0,1.0,0.0
Saumya-Choudhuri,30,2,1,0.0,0.6206896551724138,18.0,2.0,146.5886111111111,False,False,4,1.0,1.0,1.0,1.0,0.0
Ukie4321,36,2,1,0.0,0.7714285714285715,6.0,2.0,49.40111111111111,False,False,4,1.0,1.0,1.0,1.0,0.0
