actor_login,repo_name,event_count,rank,purpose_label,name_category,language
0000-bot,0000-bot/Automation_Income,1,1.0,no_description,automation,
0001138832-bot,0001138832-bot/ATV,1,1.0,no_description,automation,
0001138832-bot,0001138832-bot/atiivdade-pratica-turma-tarde-g1,1,2.0,no_description,automation,
00felix-app[bot],jdemo1225/Alchemain_Demo,1,1.0,no_description,demo_or_test,
00felix-bilal[bot],bilal-bhatti/broker,3,1.0,no_description,general,
030239230235-bot,030239230235-bot/NIKKI.,1,1.0,no_description,automation,
030239230235-bot,030239230235-bot/diary..,1,2.0,no_description,automation,
0915371010-bot,0915371010-bot/-cs2-objects,2,1.0,no_description,automation,
0915371010-bot,0915371010-bot/cs2-form-elements,1,2.0,no_description,automation,
0x4272616e646f6e-renovate-ce-bot[bot],0x4272616E646F6E/homelab,69,1.0,no_description,general,
1113zhuyan-bot,1113zhuyan-bot/Intent2Task,3,1.0,no_description,automation,
11436016-bot,11436016-bot/PlantDoctor_Project,1,1.0,no_description,automation,
11436016-bot,11436022/plant,1,2.0,no_description,general,
117-hd-test[bot],aHooder/RLHD,1,1.0,no_description,general,
117-hd[bot],117HD/RLHD,1,1.0,no_description,general,
11gather11-nix-updater[bot],11gather11/dotfiles,140,1.0,no_description,config,
1205-bot,1205-bot/eda_P08,2,1.0,no_description,automation,
123X23X-bot,761696148/Game-Map-Tracker,1,1.0,no_description,general,
1318047832-bot,cctv18/oppo_oplus_realme_sm8850,2,1.0,no_description,general,
1318047832-bot,1318047832-bot/oppo_oplus_realme_sm8850,1,2.0,no_description,automation,
14vaishnavijaiswal01-bot,14vaishnavijaiswal01-bot/exam-intelligence-python,1,1.0,no_description,automation,
192524122simats-bot,192524122simats-bot/operatingsystem,1,1.0,no_description,automation,
1940314967-bot,1940314967-bot/SiqiZhang,4,1.0,no_description,automation,
1940314967-bot,1940314967-bot/sq_1,3,2.0,no_description,automation,
1940314967-bot,1940314967-bot/ftgp_sq_use,2,3.0,no_description,automation,
1940314967-bot,1940314967-bot/ftgp_2,1,4.0,no_description,automation,
1984-ci-event[bot],skyrat1984test/skyrat1984test,4,1.0,no_description,demo_or_test,
1998basm1998-bot,1998basm1998-bot/998,2,1.0,no_description,automation,
1998basm1998-bot,1998basm1998-bot/112222,1,2.0,no_description,automation,
1998basm1998-bot,1998basm1998-bot/657,1,3.0,no_description,automation,
1Panel-bot,1Panel-dev/1Panel,7,1.0,no_description,general,
1bookmark-bot,1bookmark-bot/raycast-extensions,5,1.0,no_description,automation,
1code-async[bot],21st-dev/phion,7,1.0,no_description,general,
1code-async[bot],Fission-AI/OpenSpec,2,2.0,no_description,general,
1code-async[bot],21st-dev/1code,1,3.0,no_description,general,
1p-homebrew-bot,1p-homebrew-bot/winget-pkgs,1,1.0,no_description,automation,
1password-bot,1Password/for-open-source,8,1.0,no_description,general,
1problem1day[bot],LetMeFly666/LeetCode,1,1.0,no_description,general,
201076-bot,201076-bot/bums,2,1.0,no_description,automation,
201076-bot,201076-bot/bum,1,2.0,no_description,automation,
202214221a-bot,202214221a-bot/Aprendiendo-Usar-HTML-y-CSS,1,1.0,no_description,automation,
202214221a-bot,202214221a-bot/Enlaces,1,2.0,no_description,automation,
2024bit031-bot,2024bit031-bot/FaceAttendanceApp,1,1.0,no_description,automation,
2024bit031-bot,2024bit031-bot/WeatherApp,1,2.0,no_description,automation,
2024bit031-bot,2024bit031-bot/practical11,1,3.0,no_description,automation,
2025siddhidas-bot,2025siddhidas-bot/personal,6,1.0,no_description,automation,
2027-evals[bot],makedora/mintlify-docs,3,1.0,no_description,docs,
2027-evals[bot],nottelabs/notte,3,2.0,no_description,general,
2117612407-bot,Lordog/dive-into-llms,1,1.0,no_description,general,
2224802010941-bot,2224802010941-bot/flutter_calculator_hodienduc,1,1.0,no_description,automation,
22302065-bot,22302065-bot/Gestion-PyME,2,1.0,no_description,automation,
231459530-bot,231459530-bot/Mi-futura-tiendita,6,1.0,no_description,automation,
23t1020156-bot,23t1020156-bot/my-web,3,1.0,no_description,automation,
24-bot,24HeuresINSA/Overbookd,39,1.0,no_description,general,
24-bot,24HeuresINSA/upptime,7,2.0,no_description,general,
2400002147-bot,2400002147-bot/GameManager,3,1.0,no_description,automation,
240343-bot,240343-bot/subd,6,1.0,no_description,automation,
240343-bot,240343-bot/supabase7781,3,2.0,no_description,automation,
2411102441126-bot,2411102441126-bot/RPL-clean-code,1,1.0,no_description,automation,
2411102441127-bot,2411102441127-bot/Tugas_Code-Audit,1,1.0,no_description,automation,
2411102441127-bot,2411102441127-bot/Tugas_RPL,1,2.0,no_description,automation,
24130035-bot,24130035-bot/ronaldo,2,1.0,no_description,automation,
24717-bot,24717-bot/277,1,1.0,no_description,automation,
24e143-bot,24e143-bot/surya-project,3,1.0,no_description,automation,
24e160-bot,24e160-bot/Surya,3,1.0,no_description,automation,
24im058si-bot,24im058si-bot/Mon-portofolio-2026,1,1.0,no_description,automation,
251007-bot,251007-bot/portfolio,1,1.0,no_description,automation,
25160-bot,25160-bot/supnum2026,2,1.0,no_description,automation,
2520241008-bot,2520241008-bot/python-guide,1,1.0,no_description,automation,
26004208-bot,26004208-bot/26004208github.io,2,1.0,no_description,automation,
2718259660-bot,2718259660-bot/love-scorebook,6,1.0,no_description,automation,
2718259660-bot,2718259660-bot/driver-fatigue-detection,1,2.0,no_description,automation,
2908591561-bot,2908591561-bot/tarot,1,1.0,no_description,automation,
2i2c-Bot,2i2c-org/infrastructure,7,1.0,no_description,general,
2na2-p[bot],na2na-p/StreamShuttle,2,1.0,no_description,general,
2trf282pg7-bot,2trf282pg7-bot/gaijinhome,2,1.0,no_description,automation,
3338382-bot,3338382-bot/logistika,6,1.0,no_description,automation,
3338382-bot,3338382-bot/webviewapp,5,2.0,no_description,automation,
343286322-bot,ZhuLinsen/daily_stock_analysis,1,1.0,no_description,general,
3490172647-bot,1c7/chinese-independent-developer,1,1.0,no_description,general,
365concertsgs-bot,365concertsgs-bot/sgs-raga-sagra,36,1.0,no_description,automation,
3846masa-release-bot[bot],3846masa/babel-plugin-polyfill-custom,1,1.0,no_description,general,
39periods[bot],Laufler/my-first-blog,1,1.0,no_description,general,
3liz-bot,3liz/lizmap-web-client,15,1.0,no_description,general,
3liz-bot,3liz/qjazz,1,2.0,no_description,general,
3luvluvluv3-bot,3luvluvluv3-bot/sprechen,6,1.0,no_description,automation,
3luvluvluv3-bot,3luvluvluv3-bot/schreiben,4,2.0,no_description,automation,
