actor_login,total_events,unique_repos,event_type_diversity,first_seen,last_seen,activity_span_h,events_per_hour,bot_category,wide_footprint
github-actions[bot],561,529,4,2026-04-15 12:00:00+00:00,2026-04-15 12:02:06+00:00,0.035,16028.571428571428,ci_cd,True
renovate[bot],83,52,4,2026-04-15 12:00:00+00:00,2026-04-15 12:02:06+00:00,0.035,2371.428571428571,dependency,True
dependabot[bot],42,32,5,2026-04-15 12:00:12+00:00,2026-04-15 12:02:06+00:00,0.03166666666666667,1326.3157894736842,dependency,True
pull[bot],26,26,2,2026-04-15 12:00:03+00:00,2026-04-15 12:02:06+00:00,0.034166666666666665,760.9756097560976,other,True
github-merge-queue[bot],8,4,3,2026-04-15 12:00:12+00:00,2026-04-15 12:01:53+00:00,0.028055555555555556,285.1485148514852,other,False
hyperspace-agent-publisher[bot],8,1,1,2026-04-15 12:00:12+00:00,2026-04-15 12:02:05+00:00,0.03138888888888889,254.86725663716814,other,False
redecorate-bot[bot],7,1,2,2026-04-15 12:01:05+00:00,2026-04-15 12:02:05+00:00,0.016666666666666666,420.0,other,False
noob-renovate[bot],6,1,2,2026-04-15 12:01:18+00:00,2026-04-15 12:01:48+00:00,0.008333333333333333,720.0,dependency,False
lovable-dev[bot],6,6,2,2026-04-15 12:00:13+00:00,2026-04-15 12:01:59+00:00,0.029444444444444443,203.77358490566039,other,True
claudecodejg-bot,5,1,1,2026-04-15 12:00:26+00:00,2026-04-15 12:01:59+00:00,0.025833333333333333,193.5483870967742,other,False
cloudflare-workers-and-pages[bot],4,4,1,2026-04-15 12:00:00+00:00,2026-04-15 12:02:06+00:00,0.035,114.28571428571428,other,False
gitops-promoter-demo-labs-repo[bot],4,1,1,2026-04-15 12:00:11+00:00,2026-04-15 12:02:05+00:00,0.03166666666666667,126.3157894736842,other,False
negative-7-bot[bot],4,1,1,2026-04-15 12:01:53+00:00,2026-04-15 12:01:55+00:00,0.0005555555555555556,7200.0,other,False
