repo_name,total_events,unique_actors,bot_events,first_event,last_event,phish_name_flag,ai_coauthor_flag,total_payload_b,events_per_actor,bot_ratio,time_span_s,events_per_second,event_type_diversity,distinct_branches,suspicious_score
Nam17111998/Udemy_free,1,1,1,2026-04-15 12:00:18+00:00,2026-04-15 12:00:18+00:00,True,False,620,1.0,1.0,0.0,1.0,1,0,7
hhackk/hacknews,1,1,1,2026-04-15 12:00:55+00:00,2026-04-15 12:00:55+00:00,True,False,608,1.0,1.0,0.0,1.0,1,0,7
siyukatu/ttsbot-status-history-graph,1,1,1,2026-04-15 12:00:49+00:00,2026-04-15 12:00:49+00:00,True,False,648,1.0,1.0,0.0,1.0,1,0,7
parampavar/python-telegram-bot,1,1,1,2026-04-15 12:00:17+00:00,2026-04-15 12:00:17+00:00,True,False,606,1.0,1.0,0.0,1.0,1,0,7
phoracek/cluster-network-addons-operator,1,1,1,2026-04-15 12:02:06+00:00,2026-04-15 12:02:06+00:00,True,False,671,1.0,1.0,0.0,1.0,1,0,7
KingOfTheNerds32/pool_data_logger,1,1,1,2026-04-15 12:00:30+00:00,2026-04-15 12:00:30+00:00,True,False,642,1.0,1.0,0.0,1.0,1,0,7
haoyousun60-create/TrendRadar-Crypto,1,1,1,2026-04-15 12:01:07+00:00,2026-04-15 12:01:07+00:00,True,False,648,1.0,1.0,0.0,1.0,1,0,7
DrChenMor/bam.bot,1,1,1,2026-04-15 12:01:33+00:00,2026-04-15 12:01:33+00:00,True,False,608,1.0,1.0,0.0,1.0,1,0,7
soralabs-jp/makoto-watch-bot,1,1,1,2026-04-15 12:01:10+00:00,2026-04-15 12:01:10+00:00,True,False,632,1.0,1.0,0.0,1.0,1,0,7
codev-workshops/uc-data-source-migration-legacy-to-modern,1,1,1,2026-04-15 12:01:02+00:00,2026-04-15 12:01:02+00:00,True,False,918,1.0,1.0,0.0,1.0,1,1,7
hmcts/probate-ccd-data-migration-tool,1,1,1,2026-04-15 12:01:57+00:00,2026-04-15 12:01:57+00:00,True,False,884,1.0,1.0,0.0,1.0,1,1,7
YaChengMu/Free-Node,1,1,1,2026-04-15 12:01:10+00:00,2026-04-15 12:01:10+00:00,True,False,612,1.0,1.0,0.0,1.0,1,0,7
francoisfmdev/XRP-BTC-Strat-gie-MTF-EMA200-simulation,1,1,1,2026-04-15 12:01:45+00:00,2026-04-15 12:01:45+00:00,True,False,682,1.0,1.0,0.0,1.0,1,0,7
iamfour07/crypto-scanner,1,1,1,2026-04-15 12:00:52+00:00,2026-04-15 12:00:52+00:00,True,False,624,1.0,1.0,0.0,1.0,1,0,7
pranjalmandhan/crypto-market-pipeline,1,1,1,2026-04-15 12:00:30+00:00,2026-04-15 12:00:30+00:00,True,False,650,1.0,1.0,0.0,1.0,1,0,7
erffa1995/nlm-telegram-news-bot,1,1,1,2026-04-15 12:00:50+00:00,2026-04-15 12:00:50+00:00,True,False,638,1.0,1.0,0.0,1.0,1,0,7
kuriri08/verse8-trend-bot,1,1,1,2026-04-15 12:00:47+00:00,2026-04-15 12:00:47+00:00,True,False,628,1.0,1.0,0.0,1.0,1,0,7
MaverickD650/home-operations,2,1,2,2026-04-15 12:01:22+00:00,2026-04-15 12:01:28+00:00,True,False,1404,2.0,1.0,6.0,0.3333333333333333,1,2,7
hayaseta/solana-sniping-bot,1,1,1,2026-04-15 12:01:23+00:00,2026-04-15 12:01:23+00:00,True,False,630,1.0,1.0,0.0,1.0,1,0,7
pworker15/analyst-ratings,1,1,1,2026-04-15 12:00:45+00:00,2026-04-15 12:00:45+00:00,True,False,626,1.0,1.0,0.0,1.0,1,0,7
KGLiatrio25/daily-lead-generator,1,1,1,2026-04-15 12:00:16+00:00,2026-04-15 12:00:16+00:00,True,False,640,1.0,1.0,0.0,1.0,1,0,7
SaltyFishZ4869/ghapi-json-generator,1,1,1,2026-04-15 12:01:32+00:00,2026-04-15 12:01:32+00:00,True,False,646,1.0,1.0,0.0,1.0,1,0,7
rileychh/FixTweetBot,1,1,1,2026-04-15 12:02:05+00:00,2026-04-15 12:02:05+00:00,True,False,584,1.0,1.0,0.0,1.0,1,0,7
lairulan/beauty-generator,1,1,1,2026-04-15 12:01:13+00:00,2026-04-15 12:01:13+00:00,True,False,626,1.0,1.0,0.0,1.0,1,0,7
