actor_login,total_events,unique_repos,unique_event_types,event_entropy,burst_fraction,median_gap_s,min_gap_s,span_hours,ai_coauthor,is_known_bot,suspicious_human_score,susp_low_entropy,susp_burst,susp_high_volume,susp_single_type,susp_ai_coauthor
sidarthus89,51,2,1,0.0,1.0,2.0,0.0,0.0325,False,False,4,1.0,1.0,1.0,1.0,0.0
MIchael-wufan,30,1,1,0.0,1.0,2.0,0.0,0.027777777777777776,False,False,4,1.0,1.0,1.0,1.0,0.0
SoliSpirit,39,2,1,0.0,1.0,2.0,0.0,0.0325,False,False,4,1.0,1.0,1.0,1.0,0.0
KarolisZemaitis,21,1,1,0.0,1.0,5.0,1.0,0.03222222222222222,False,False,4,1.0,1.0,1.0,1.0,0.0
lakshit77,30,1,1,0.0,1.0,2.0,0.0,0.024722222222222222,False,False,4,1.0,1.0,1.0,1.0,0.0
rokytnice,3,1,1,0.0,1.0,1.0,1.0,0.0005555555555555556,False,False,3,1.0,1.0,0.0,1.0,0.0
skylathadani-ms,3,3,1,0.0,1.0,52.0,49.0,0.028888888888888888,False,False,3,1.0,1.0,0.0,1.0,0.0
benwwalker1,2,1,1,0.0,1.0,39.0,39.0,0.010833333333333334,False,False,3,1.0,1.0,0.0,1.0,0.0
skstmdals1-ctrl,2,2,1,0.0,1.0,46.0,46.0,0.012777777777777779,False,False,3,1.0,1.0,0.0,1.0,0.0
rohanjass,2,1,1,0.0,1.0,3.0,3.0,0.0008333333333333334,False,False,3,1.0,1.0,0.0,1.0,0.0
josepec,2,2,1,0.0,1.0,12.0,12.0,0.0033333333333333335,False,False,3,1.0,1.0,0.0,1.0,0.0
leandrohstein,2,1,1,0.0,1.0,6.0,6.0,0.0016666666666666668,False,False,3,1.0,1.0,0.0,1.0,0.0
joonhanofficial,2,1,1,0.0,1.0,37.0,37.0,0.010277777777777778,False,False,3,1.0,1.0,0.0,1.0,0.0
BDKB33,11,1,1,0.0,1.0,0.0,0.0,0.0011111111111111111,False,False,3,1.0,1.0,0.0,1.0,0.0
lavanyapothireddy,2,1,1,0.0,1.0,13.0,13.0,0.003611111111111111,False,False,3,1.0,1.0,0.0,1.0,0.0
Havran001,7,1,1,0.0,1.0,14.5,4.0,0.029444444444444443,False,False,3,1.0,1.0,0.0,1.0,0.0
jonnyzzz,2,2,1,0.0,1.0,35.0,35.0,0.009722222222222222,False,False,3,1.0,1.0,0.0,1.0,0.0
pageth,2,1,1,0.0,1.0,36.0,36.0,0.01,False,False,3,1.0,1.0,0.0,1.0,0.0
DaoThree,2,2,1,0.0,1.0,5.0,5.0,0.001388888888888889,False,False,3,1.0,1.0,0.0,1.0,0.0
amyb-oai,2,2,1,0.0,1.0,22.0,22.0,0.006111111111111111,False,False,3,1.0,1.0,0.0,1.0,0.0
RavanGuliyeff,14,1,1,0.0,1.0,8.0,3.0,0.03194444444444444,False,False,3,1.0,1.0,0.0,1.0,0.0
dsfsdfs21cfc,2,1,1,0.0,1.0,6.0,6.0,0.0016666666666666668,False,False,3,1.0,1.0,0.0,1.0,0.0
monitoramentov3lan,4,3,1,0.0,0.6666666666666666,12.0,5.0,0.03361111111111111,False,False,3,1.0,1.0,0.0,1.0,0.0
monetdb-team,2,1,1,0.0,1.0,0.0,0.0,0.0,False,False,3,1.0,1.0,0.0,1.0,0.0
noa-damanjodi,2,1,1,0.0,1.0,1.0,1.0,0.0002777777777777778,False,False,3,1.0,1.0,0.0,1.0,0.0
AkshatModi870,2,1,1,0.0,1.0,58.0,58.0,0.01611111111111111,False,False,3,1.0,1.0,0.0,1.0,0.0
nonkh,4,1,1,0.0,0.6666666666666666,58.0,0.0,0.03388888888888889,False,False,3,1.0,1.0,0.0,1.0,0.0
mmicaelajairedin-ui,2,1,1,0.0,1.0,2.0,2.0,0.0005555555555555556,False,False,3,1.0,1.0,0.0,1.0,0.0
galoshy,2,1,1,0.0,1.0,47.0,47.0,0.013055555555555556,False,False,3,1.0,1.0,0.0,1.0,0.0
rootaipro-svg,2,1,1,0.0,1.0,40.0,40.0,0.011111111111111112,False,False,3,1.0,1.0,0.0,1.0,0.0
jorgepita,2,1,1,0.0,1.0,2.0,2.0,0.0005555555555555556,False,False,3,1.0,1.0,0.0,1.0,0.0
larryseyer,2,2,1,0.0,1.0,39.0,39.0,0.010833333333333334,False,False,3,1.0,1.0,0.0,1.0,0.0
jjdastolfo-ui,2,1,1,0.0,1.0,37.0,37.0,0.010277777777777778,False,False,3,1.0,1.0,0.0,1.0,0.0
antlogist,2,1,1,0.0,1.0,0.0,0.0,0.0,False,False,3,1.0,1.0,0.0,1.0,0.0
siamak,2,1,1,0.0,1.0,58.0,58.0,0.01611111111111111,False,False,3,1.0,1.0,0.0,1.0,0.0
andrelllb,2,1,1,0.0,1.0,39.0,39.0,0.010833333333333334,False,False,3,1.0,1.0,0.0,1.0,0.0
jbar1,4,1,1,0.0,1.0,5.0,2.0,0.004166666666666667,False,False,3,1.0,1.0,0.0,1.0,0.0
birdmanmandbir,2,1,1,0.0,1.0,6.0,6.0,0.0016666666666666668,False,False,3,1.0,1.0,0.0,1.0,0.0
MadarapuAnjali,2,1,1,0.0,1.0,21.0,21.0,0.005833333333333334,False,False,3,1.0,1.0,0.0,1.0,0.0
bho1996,2,1,1,0.0,1.0,33.0,33.0,0.009166666666666667,False,False,3,1.0,1.0,0.0,1.0,0.0
amaralofertas,14,1,1,0.0,1.0,9.0,4.0,0.03166666666666667,False,False,3,1.0,1.0,0.0,1.0,0.0
Magnusorskov,2,1,1,0.0,1.0,30.0,30.0,0.008333333333333333,False,False,3,1.0,1.0,0.0,1.0,0.0
robodoo,6,3,1,0.0,1.0,3.0,0.0,0.01361111111111111,False,False,3,1.0,1.0,0.0,1.0,0.0
rmf11048,2,1,1,0.0,1.0,3.0,3.0,0.0008333333333333334,False,False,3,1.0,1.0,0.0,1.0,0.0
wyxkk1,2,1,1,0.0,1.0,21.0,21.0,0.005833333333333334,False,False,3,1.0,1.0,0.0,1.0,0.0
johnanleitner1-Coder,5,1,1,0.0,1.0,3.0,1.0,0.0044444444444444444,False,False,3,1.0,1.0,0.0,1.0,0.0
leong62097,8,1,1,0.0,1.0,7.0,1.0,0.03305555555555555,False,False,3,1.0,1.0,0.0,1.0,0.0
rknox99,2,1,1,0.0,1.0,58.0,58.0,0.01611111111111111,False,False,3,1.0,1.0,0.0,1.0,0.0
riteshturabit,2,1,1,0.0,1.0,53.0,53.0,0.014722222222222222,False,False,3,1.0,1.0,0.0,1.0,0.0
bobfile666,2,1,1,0.0,1.0,0.0,0.0,0.0,False,False,3,1.0,1.0,0.0,1.0,0.0
